Method,Used Classes
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testStaticMethodCall,"StringBuilder, ExtensionFunctionTest, Class"
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest.testDoPredicatesStandard,"SimplePathInterpreterTest, JXPathContext"
org.apache.commons.jxpath.ri.compiler.CoreOperationTest.testInfoSetTypes,"CoreOperationTest, Double"
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest.testCoreFunction,
org.apache.commons.jxpath.ri.model.MixedModelTest.testBeanPrimitive,
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testEstablishNodeSetBaseline,
org.apache.commons.jxpath.ri.compiler.CoreOperationTest.testNodeSetOperations,
org.apache.commons.jxpath.ri.model.XMLPreserveSpaceTest.testDefaultJDOM,"XMLPreserveSpaceTest, DocumentContainer, StringBuilder, Class, JXPathContext"
org.apache.commons.jxpath.ri.model.XMLSpaceTest.testPreserveDOM,"DocumentContainer, StringBuilder, JXPathContext, XMLSpaceTest, Class"
org.apache.commons.jxpath.ri.model.MixedModelTest.testBeanContainer,
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest.testLocationPathAxisAttribute,
org.apache.commons.jxpath.util.BasicTypeConverterTest.testSingletonArrayToString,
org.apache.commons.jxpath.ri.model.XMLPreserveSpaceTest.doTest,"XMLPreserveSpaceTest, DocumentContainer, StringBuilder, Class, JXPathContext"
org.apache.commons.jxpath.ri.model.MixedModelTest.testMapDocument,
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testID,
org.apache.commons.jxpath.ri.model.MixedModelTest.testVarMap,
org.apache.commons.jxpath.ri.compiler.VariableTest.testRemovePathCollectionElement,"Variables, VariableTest, JXPathContext"
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePath,"DynamicPropertiesModelTest, TestBean, JXPathContext"
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testStaticMethodLookupWithExpressionContext,"Integer, Locale, NodePointer, ExtensionFunctionTest, ExtensionFunctionTest$Context, Function, Object, Functions"
org.apache.commons.jxpath.ri.model.MixedModelTest.testNull,"TestNull, MixedModelTest, Object, JXPathContext"
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testDocument,
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testAxisNamespace,
org.apache.commons.jxpath.ri.model.MixedModelTest.testListList,
org.apache.commons.jxpath.ri.model.container.ContainerModelTest.testContainerVariableWithCollection,"UnsupportedOperationException, Variables, ContainerModelTest, ContainerModelTest$ArrayContainer, Object, JXPathContext"
org.apache.commons.jxpath.ri.compiler.VariableTest.testCreatePathAndSetValueDeclareVariableSetProperty,
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest.testDoPredicateName,"Integer, NestedTestBean, TestBeanWithNode, SimplePathInterpreterTest, Map, JXPathContext"
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest.testCoreOperationUnion,
org.apache.commons.jxpath.ri.model.MixedModelTest.testBeanBean,"Integer, MixedModelTest"
org.apache.commons.jxpath.ri.model.XMLSpaceTest.doTest,"Class, DocumentContainer, StringBuilder, XMLSpaceTest, JXPathContext"
org.apache.commons.jxpath.ri.model.MixedModelTest.testIterateArray,"Map, MixedModelTest, HashMap, JXPathContext"
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest.testCoreOperationOr,
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testAxisChild,
org.apache.commons.jxpath.util.BasicTypeConverterTest.testBeanUtilsConverter,"BasicTypeConverterTest, BigDecimal"
org.apache.commons.jxpath.util.BasicTypeConverterTest.testSingletonCollectionToString,"BasicTypeConverterTest, Collections"
org.apache.commons.jxpath.ri.compiler.VariableTest.testUnionOfVariableAndNode,"VariableTest, Double"
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest.testLocationPathAxisChild,
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testAxisFollowing,
org.apache.commons.jxpath.ri.compiler.VariableTest.testCreatePathDeclareVariableSetCollectionElement,"VariableTest, JXPathContext"
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testAxisAncestorOrSelf,
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testAxisChild,
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testMethodLookupWithExpressionContext,"Integer, Locale, NodePointer, ExpressionContext, String, Pointer, ExtensionFunctionTest, Number, TestFunctions, ExtensionFunctionTest$Context, Function, Object, Functions"
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testElementInVariable,
org.apache.commons.jxpath.ri.model.XMLSpaceTest.testPreserveJDOM,"DocumentContainer, StringBuilder, JXPathContext, XMLSpaceTest, Class"
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest.testCoreOperationNotEqual,
org.apache.commons.jxpath.ri.model.beans.BeanModelTest.testIndexedProperty,"BeanModelTest, Integer, TestIndexedPropertyBean, Object, JXPathContext"
org.apache.commons.jxpath.ri.model.MixedModelTest.testIterateVector,"HashMap, Vector, MixedModelTest, Map, JXPathContext"
org.apache.commons.jxpath.ri.compiler.VariableTest.testVariablesInExpressions,"VariableTest, Double"
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testBooleanFunction,
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testNamespaceMapping,
org.apache.commons.jxpath.ri.compiler.VariableTest.testCreatePathAndSetValueDeclareVariable,
org.apache.commons.jxpath.ri.compiler.CoreFunctionTest.testExtendedKeyFunction,"Arrays, CoreFunctionTest$3, Variables, NodePointer, CoreFunctionTest, CoreFunctionTest$3$1, Object, JXPathContext"
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testAxisDescendant,
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testStaticMethodLookup,"Integer, Locale, NodePointer, ExtensionFunctionTest, ExtensionFunctionTest$Context, Function, Object, Functions"
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testSetNewKey,"DynamicPropertiesModelTest, Integer"
org.apache.commons.jxpath.ri.model.MixedModelTest.testMapBean,"Integer, MixedModelTest"
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testAxisAncestor,
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testAxisAncestorOrSelf,
org.apache.commons.jxpath.ri.model.dom.DOMModelTest.testContainer,
org.apache.commons.jxpath.util.BasicTypeConverterTest.testNodeSetToInteger,"Integer, Collections, BasicTypeConverterTest$3, BasicTypeConverterTest, Object"
org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest.testCreatePath,
org.apache.commons.jxpath.ri.model.XMLSpaceTest.testNestedWithCommentsDOM,"DocumentContainer, StringBuilder, JXPathContext, XMLSpaceTest, Class"
