TestCase,used_classes,changeProneness,linesRatio,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio
org.apache.commons.lang.time.DurationFormatUtilsTest.testFormatPeriodISO,"[""TimeZone"", ""DurationFormatUtilsTest"", ""Calendar"", ""Calendar"", ""Calendar"", ""FastDateFormat"", ""TestCase"", ""Calendar"", ""Date"", ""DurationFormatUtils""]","[0.2222222222222222, 0.2222222222222222]","[291.6666666666667, 201.33333333333334]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,291.6666666666667,246.5,201.33333333333334,493.0,238.22402524228085,242.32668491567787,45.16666666666667
org.apache.commons.lang.NumberUtilsTest.testIsDigits,"[""NumberUtils"", ""NumberUtilsTest"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.math.NumberUtilsTest.testStringToDoubleStringD,"[""NumberUtils"", ""NumberUtilsTest"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.math.NumberUtilsTest.testMinByte,"[""NumberUtils"", ""NumberUtilsTest"", ""TestCase"", ""TestCase"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.math.NumberUtilsTest.testToFloatString,"[""NumberUtils"", ""NumberUtilsTest"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.math.NumberUtilsTest.testStringToDoubleString,"[""NumberUtils"", ""NumberUtilsTest"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.math.NumberUtilsTest.testCreateInteger,"[""Integer"", ""NumberUtilsTest"", ""NumberUtils"", ""TestCase"", ""NumberUtilsTest""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.time.DurationFormatUtilsTest.testFormatPeriod,"[""Calendar"", ""DurationFormatUtilsTest"", ""Calendar"", ""Calendar"", ""Calendar"", ""Date"", ""DurationFormatUtils"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[291.6666666666667, 201.33333333333334]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,291.6666666666667,246.5,201.33333333333334,493.0,238.22402524228085,242.32668491567787,45.16666666666667
org.apache.commons.lang.math.NumberUtilsTest.testCreateBigDecimalFailure,"[""NumberUtils"", ""NumberUtilsTest"", ""StringBuffer"", ""StringBuffer"", ""StringBuffer"", ""StringBuffer"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
org.apache.commons.lang.math.NumberUtilsTest.testEqualsLong,"[""NumberUtils"", ""NumberUtilsTest"", ""TestCase""]","[0.2222222222222222, 0.2222222222222222]","[452.6666666666667, 396.44444444444446]",0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,452.6666666666667,424.55555555555554,396.44444444444446,849.1111111111111,422.69423362121614,423.62387230323196,28.111111111111114
