Method,Used Classes
org.apache.commons.collections4.TransformerUtilsTest.testStringValueTransformer,"Transformer, TransformerUtils, Integer, TransformerUtilsTest"
org.apache.commons.collections4.CollectionUtilsTest.getFromObject,"CollectionUtilsTest, Object, CollectionUtils"
org.apache.commons.collections4.IteratorUtilsTest.testToList,"IteratorUtils, ArrayList, Integer, IteratorUtilsTest, List"
org.apache.commons.collections4.list.CursorableLinkedListTest.testInternalState_CursorNextNextAddIndex1ByList,"CursorableLinkedList$Cursor, CursorableLinkedListTest, CursorableLinkedList"
org.apache.commons.collections4.MultiMapUtilsTest.testTypeSafeEmptyMultiValuedMap,"MultiMapUtils, MultiValuedMap, MultiMapUtilsTest"
org.apache.commons.collections4.list.CursorableLinkedListTest.testInternalState_CursorNextAddIndex1ByList,"CursorableLinkedList$Cursor, CursorableLinkedListTest, CursorableLinkedList"
org.apache.commons.collections4.iterators.ObjectGraphIteratorTest.testIteratorConstructor_null_remove,"ObjectGraphIteratorTest, Iterator, ObjectGraphIterator"
org.apache.commons.collections4.CollectionUtilsTest.intersectionUsesMethodEquals,"CollectionUtilsTest, ArrayList, Collection, Integer, Iterator, CollectionUtils"
org.apache.commons.collections4.FactoryUtilsTest.testConstantFactoryNull,"FactoryUtilsTest, Factory, FactoryUtils"
org.apache.commons.collections4.map.Flat3MapTest.testMapIteratorSetValue3,"Flat3Map, Flat3MapTest, MapIterator"
org.apache.commons.collections4.iterators.PermutationIteratorTest.testPermutationUnicity,"HashSet, ArrayList, PermutationIterator, PermutationIteratorTest, Set, List"
org.apache.commons.collections4.map.LRUMapTest.testRemoveLRU,"LRUMap, AbstractLinkedMap$LinkEntry, LRUMapTest, LRUMapTest$MockLRUMapSubclass"
org.apache.commons.collections4.list.TreeListTest.testIterationOrderAfterAddAll,"ArrayList, TreeList, ListIterator, Integer, TreeListTest, List"
org.apache.commons.collections4.set.TransformedSetTest.testTransformedSet,"TransformedSetTest, TransformedSet, Set, Integer, HashSet"
org.apache.commons.collections4.queue.CircularFifoQueueTest.testRemoveError2,"CircularFifoQueue, CircularFifoQueueTest"
org.apache.commons.collections4.PredicateUtilsTest.testAnyPredicateEx3,"PredicateUtils, PredicateUtilsTest"
org.apache.commons.collections4.IterableUtilsTest.matchesAll,"Object, IterableUtils, IterableUtilsTest$5, IterableUtilsTest, IterableUtilsTest$4, Integer"
org.apache.commons.collections4.keyvalue.MultiKeyTest.testEqualsAfterSerialization,"ByteArrayInputStream, Object, String, Map, ByteArrayOutputStream, ObjectInputStream, HashMap, MultiKey, MultiKeyTest, ObjectOutputStream, MultiKeyTest$SystemHashCodeSimulatingKey"
org.apache.commons.collections4.list.CursorableLinkedListTest.testCursorAdd,"CursorableLinkedList$Cursor, CursorableLinkedListTest, CursorableLinkedList"
org.apache.commons.collections4.FluentIterableTest.testToString,"Object, FluentIterableTest, FluentIterable"
org.apache.commons.collections4.map.MultiValueMapTest.testMapEquals,"Integer, MultiValueMapTest, MultiValueMap"
org.apache.commons.collections4.set.PredicatedSetTest.testGetSet,"PredicatedSet, PredicatedSetTest, HashSet"
