Version,Strategy,Accuracy,FDR
27,Total,0.0,0
27,Mean,0.0,0
27,Max,0.0,0
27,Min,0.0,0
28,Total,0.0,0
28,Mean,0.0,0
28,Max,0.0,0
28,Min,0.0,0
29,Total,0.0,0
29,Mean,1.0,1
29,Max,1.0,1
29,Min,1.0,1
30,Total,0.5,1
30,Mean,0.5,1
30,Max,0.5,1
30,Min,0.5,1
31,Total,0.0,0
31,Mean,0.0,0
31,Max,0.0,0
31,Min,0.0,0
32,Total,0.18518518518518517,1
32,Mean,0.25925925925925924,1
32,Max,0.25925925925925924,1
32,Min,0.25925925925925924,1
33,Total,0.0,0
33,Mean,0.0,0
33,Max,0.0,0
33,Min,0.0,0
34,Total,0.0,0
34,Mean,0.0,0
34,Max,0.0,0
34,Min,0.0,0
35,Total,0.0,0
35,Mean,0.0,0
35,Max,0.0,0
35,Min,0.0,0
36,Total,0.0,0
36,Mean,0.0,0
36,Max,0.0,0
36,Min,0.0,0
37,Total,0.0,0
37,Mean,1.0,1
37,Max,1.0,1
37,Min,1.0,1
38,Total,0.0,0
38,Mean,0.0,0
38,Max,0.0,0
38,Min,0.0,0
39,Total,1.0,1
39,Mean,0.0,0
39,Max,0.0,0
39,Min,0.0,0
