Version,Strategy,Accuracy,FDR
1,Total,0.0,0
1,Mean,0.0,0
1,Max,0.0,0
1,Min,0.0,0
2,Total,0.0,0
2,Mean,0.0,0
2,Max,0.0,0
2,Min,0.0,0
3,Total,1.0,1
3,Mean,1.0,1
3,Max,1.0,1
3,Min,1.0,1
4,Total,1.0,1
4,Mean,1.0,1
4,Max,1.0,1
4,Min,0.0,0
5,Total,1.0,1
5,Mean,1.0,1
5,Max,1.0,1
5,Min,0.5,1
6,Total,1.0,1
6,Mean,1.0,1
6,Max,1.0,1
6,Min,1.0,1
7,Total,1.0,1
7,Mean,1.0,1
7,Max,1.0,1
7,Min,1.0,1
8,Total,0.0,0
8,Mean,1.0,1
8,Max,1.0,1
8,Min,1.0,1
9,Total,1.0,1
9,Mean,1.0,1
9,Max,1.0,1
9,Min,1.0,1
10,Total,0.0,0
10,Mean,1.0,1
10,Max,0.0,0
10,Min,1.0,1
11,Total,1.0,1
11,Mean,1.0,1
11,Max,1.0,1
11,Min,1.0,1
12,Total,0.5833333333333334,1
12,Mean,0.0,0
12,Max,0.0,0
12,Min,0.0,0
13,Total,0.5,1
13,Mean,1.0,1
13,Max,1.0,1
13,Min,1.0,1
14,Total,0.0,0
14,Mean,0.0,0
14,Max,0.0,0
14,Min,0.0,0
15,Total,1.0,1
15,Mean,1.0,1
15,Max,1.0,1
15,Min,1.0,1
16,Total,1.0,1
16,Mean,1.0,1
16,Max,1.0,1
16,Min,1.0,1
17,Total,0.0,0
17,Mean,0.0,0
17,Max,0.0,0
17,Min,1.0,1
18,Total,0.0,0
18,Mean,1.0,1
18,Max,0.0,0
18,Min,1.0,1
