version, time
1, 5.1802568435668945
2, 5.112161159515381
3, 5.2056708335876465
4, 5.409998178482056
5, 5.474548816680908
7, 5.649136781692505
8, 5.832623243331909
9, 5.882155656814575
10, 5.912216424942017
11, 6.23182487487793
13, 6.557753801345825
14, 6.675775527954102
12, 6.384741306304932
15, 6.724453687667847
16, 6.7780303955078125
21, 6.903319358825684
17, 6.639103174209595
18, 6.687839508056641
19, 6.65496826171875
20, 6.724791765213013
22, 6.997772216796875
23, 7.250830411911011
24, 7.292646408081055
25, 7.306863069534302
26, 7.418850421905518
27, 7.828663349151611
28, 8.123964548110962
29, 8.118987798690796
30, 9.236686944961548
31, 9.28281855583191
32, 9.359419107437134
33, 9.415649890899658
34, 9.541821241378784
35, 11.501050472259521
36, 11.681225538253784
37, 11.703484058380127
38, 11.816758871078491
39, 12.235465049743652
40, 0.0022411346435546875
