Method,Used Classes
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetSeriesCount,"TaskSeriesCollectionTests, Task, TaskSeriesCollection, Date, TaskSeries"
org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testHashcode,"StackedXYAreaRenderer2, StackedXYAreaRenderer2Tests"
org.jfree.data.xy.junit.XYIntervalSeriesTests.testIndexOf,"Double, XYIntervalSeries, XYIntervalSeriesTests"
org.jfree.chart.util.junit.HashUtilitiesTests.testHashCodeForDoubleArray,"HashUtilities, HashUtilitiesTests"
org.jfree.data.time.junit.TimeSeriesTests.testRemoveAgedItems4,"TimeSeriesTests, Year, TimeSeries"
org.jfree.data.xy.junit.DefaultHighLowDatasetTests.testPublicCloneable,"DefaultHighLowDatasetTests, DefaultHighLowDataset"
org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests.testSerialization,"Exception, WaterfallBarRenderer, ObjectOutput, ByteArrayOutputStream, WaterfallBarRendererTests, PrintStream, ObjectInputStream, ObjectOutputStream, ByteArrayInputStream, ObjectInput"
org.jfree.chart.axis.junit.PeriodAxisTests.testSerialization,"Exception, ObjectOutput, ByteArrayOutputStream, PeriodAxis, PeriodAxisTests, ObjectInputStream, ObjectOutputStream, ByteArrayInputStream, ObjectInput"
org.jfree.chart.junit.ChartRenderingInfoTests.testEquals,"Rectangle, ChartEntity, PlotRenderingInfo, StandardEntityCollection, Rectangle2D$Double, ChartRenderingInfo, ChartRenderingInfoTests"
org.jfree.data.time.junit.DayTests.testNext,"Day, DayTests"
org.jfree.chart.axis.junit.SegmentedTimelineTests.testFifteenMinIncludedAndExcludedSegments,"SegmentedTimeline$Segment, ArrayList, SegmentedTimeline, Calendar, SegmentedTimelineTests, Date"
org.jfree.data.time.junit.MillisecondTests.testEqualsSelf,"MillisecondTests, Millisecond"
org.jfree.chart.junit.JFreeChartTests.testGetSubtitle,"ChartFactory, JFreeChart, JFreeChartTests, DefaultPieDataset"
org.jfree.chart.plot.junit.CategoryPlotTests.test1654215,"Exception, JFreeChart, LineAndShapeRenderer, DefaultCategoryDataset, ChartFactory, Graphics2D, CategoryPlotTests, Rectangle2D$Double, CategoryPlot, BufferedImage"
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindMinimumDomainValue,"DatasetUtilitiesTests, Double, XYSeriesCollection, XYSeries, DatasetUtilities"
org.jfree.data.general.junit.DefaultKeyedValueDatasetTests.testSerialization,"Exception, Double, ObjectOutput, ByteArrayOutputStream, DefaultKeyedValueDatasetTests, PrintStream, ObjectInputStream, DefaultKeyedValueDataset, ObjectOutputStream, ByteArrayInputStream, ObjectInput"
org.jfree.data.time.junit.MillisecondTests.testDateConstructor2,"MillisecondTests, GregorianCalendar, TimeZone, Date, Millisecond"
org.jfree.chart.labels.junit.StandardCategoryItemLabelGeneratorTests.testEquals,"DecimalFormat, StandardCategoryItemLabelGeneratorTests, SimpleDateFormat, StandardCategoryItemLabelGenerator"
org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests.testCloning_LegendItemURLGenerator,"AbstractXYItemRendererTests, Object, CloneNotSupportedException, XYBarRenderer, StandardXYSeriesLabelGenerator"
org.jfree.chart.entity.junit.PieSectionEntityTests.testCloning,"Object, CloneNotSupportedException, DefaultPieDataset, Rectangle2D$Double, PieSectionEntityTests, PieSectionEntity"
org.jfree.chart.util.junit.BooleanListTests.testHashCode,"BooleanList, BooleanListTests"
org.jfree.data.general.junit.DatasetUtilitiesTests.test803660,"DatasetUtilitiesTests, DefaultCategoryDataset, DatasetUtilities, Number"
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testEquals,"XYSeriesCollection, XYSeries, CombinedDomainXYPlot, Font, CombinedDomainXYPlotTests, XYPlot, StandardXYItemRenderer, XYTextAnnotation, NumberAxis"
org.jfree.chart.axis.junit.CategoryAxisTests.testCloning2,"Object, GradientPaint, PrintStream, Font, CategoryAxis, CategoryAxisTests"
org.jfree.chart.renderer.category.junit.AreaRendererTests.testGetLegendItemSeriesIndex,"AreaRenderer, JFreeChart, DefaultCategoryDataset, LegendItem, CategoryAxis, CategoryPlot, AreaRendererTests, NumberAxis"
org.jfree.data.time.ohlc.junit.OHLCSeriesCollectionTests.testHashcode,"OHLCSeries, OHLCSeriesCollection, Year, OHLCSeriesCollectionTests"
org.jfree.chart.annotations.junit.TextAnnotationTests.testEquals,"GradientPaint, Font, TextAnnotationTests, CategoryTextAnnotation, TextAnnotation"
org.jfree.data.junit.KeyedObjectsTests.testSortByValueAscending,"KeyedObjects, Double, KeyedObjectsTests"
org.jfree.chart.util.junit.PaintListTests.testCloning,"Object, PrintStream, PaintListTests, PaintList"
org.jfree.chart.plot.junit.PlotOrientationTests.testSerialization,"Exception, ObjectOutput, ByteArrayOutputStream, PrintStream, ObjectInputStream, PlotOrientationTests, ObjectOutputStream, ByteArrayInputStream, ObjectInput"
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindStackedRangeBoundsForTableXYDataset1,"DatasetUtilitiesTests, DefaultTableXYDataset, XYSeries, DatasetUtilities, Range"
org.jfree.data.xy.junit.YIntervalSeriesCollectionTests.test1170825,"YIntervalSeries, YIntervalSeriesCollectionTests, YIntervalSeriesCollection"
org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests.testSerialization,"Exception, ObjectOutput, ByteArrayOutputStream, ObjectInputStream, ObjectInput, ObjectOutputStream, ByteArrayInputStream, XYDifferenceRendererTests, XYDifferenceRenderer"
org.jfree.data.statistics.junit.StatisticsTests.testCalculateMean_Array,"Double, StatisticsTests, Statistics"
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetColumnKey,"TaskSeriesCollectionTests, Task, TaskSeriesCollection, Date, TaskSeries"
org.jfree.data.xy.junit.OHLCDataItemTests.testCloning,"OHLCDataItemTests, OHLCDataItem, Date"
org.jfree.data.time.ohlc.junit.OHLCSeriesCollectionTests.testRemoveSeries_int,"OHLCSeries, OHLCSeriesCollection, OHLCSeriesCollectionTests"
org.jfree.chart.plot.junit.PlotOrientationTests.testEquals,"PlotOrientation, PlotOrientationTests"
