Method,Used Classes
org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testMerge,"StringBuilder, UnrecognizedExtraField, System, ExtraFieldUtilsTest, ZipShort, ExtraFieldUtils"
org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testClone,"AsiExtraFieldTest, AsiExtraField"
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraFieldTest.testWriteCDSizeAndOffset,"ZipShort, Zip64ExtendedInformationExtraField, Zip64ExtendedInformationExtraFieldTest"
org.apache.commons.compress.archivers.TarTestCase.testCOMPRESS114,"ArchiveInputStream, TarTestCase, TarArchiveInputStream, FileInputStream, TarArchiveEntry"
org.apache.commons.compress.archivers.ar.ArArchiveInputStreamTest.testReadLongNamesBSD,"ArchiveUtils, FileInputStream, ArchiveEntry, BufferedInputStream, ArArchiveInputStream, ArArchiveInputStreamTest"
org.apache.commons.compress.archivers.JarTestCase.testJarUnarchive,"ArchiveInputStream, FileOutputStream, InputStream, File, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, JarTestCase, ZipArchiveEntry"
org.apache.commons.compress.archivers.zip.EncryptedArchiveTest.testReadPasswordEncryptedEntryViaZipFile,"URL, URI, Object, EncryptedArchiveTest, GeneralPurposeBit, File, ZipFile, UnsupportedZipFeatureException, Class, ZipArchiveEntry"
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraFieldTest.testReparseCDSingleEightByteData,"Zip64ExtendedInformationExtraField, Zip64ExtendedInformationExtraFieldTest, System, ZipEightByteInteger"
org.apache.commons.compress.archivers.TarTestCase.testExplicitDirectoryEntry,"FileOutputStream, TarTestCase, TarArchiveInputStream, File, TarArchiveEntry, FileInputStream, TarArchiveOutputStream, Date"
org.apache.commons.compress.archivers.zip.GeneralPurposeBitTest.testParseEdgeCases,"GeneralPurposeBitTest, GeneralPurposeBit"
org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromTar,"ArchiveInputStream, ArchiveOutputStream, ChangeSetTestCase, ArrayList, FileOutputStream, ChangeSetPerformer, List, ChangeSet, File, FileInputStream, ArchiveStreamFactory"
org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest.winzipBackSlashWorkaround,"URL, URI, Object, ZipArchiveInputStreamTest, ZipArchiveInputStream, File, FileInputStream, Class, ZipArchiveEntry"
