Method,Used Classes
org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testMerge,"StringBuilder, UnrecognizedExtraField, System, ExtraFieldUtilsTest, ZipShort, ExtraFieldUtils"
org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testClone,"Boolean, AsiExtraFieldTest, AsiExtraField"
org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest.testTwentyNineEmptyFiles,"StringBuilder, SevenZFile, SevenZOutputFile, SevenZOutputFileTest, File, SevenZArchiveEntry, Boolean"
org.apache.commons.compress.archivers.ZipTestCase.test,
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraFieldTest.testWriteCDSizeAndOffset,"ZipShort, Zip64ExtendedInformationExtraField, Zip64ExtendedInformationExtraFieldTest"
org.apache.commons.compress.archivers.TarTestCase.testCOMPRESS114,"ArchiveInputStream, TarTestCase, TarArchiveInputStream, FileInputStream, TarArchiveEntry"
org.apache.commons.compress.archivers.zip.ExplodeSupportTest.testZipStreamWithImplodeCompression4K2Trees,"CheckedOutputStream, ByteArrayOutputStream, ExplodeSupportTest, BoundedInputStream, CRC32, ZipArchiveInputStream, File, FileInputStream, IOUtils, Checksum, ZipArchiveEntry, ZipMethod"
org.apache.commons.compress.DetectArchiverTestCase.testCOMPRESS335,"FileInputStream, BufferedInputStream, DetectArchiverTestCase, ArchiveStreamFactory"
org.apache.commons.compress.archivers.ar.ArArchiveInputStreamTest.testReadLongNamesBSD,"ArchiveUtils, FileInputStream, ArchiveEntry, BufferedInputStream, ArArchiveInputStream, ArArchiveInputStreamTest"
org.apache.commons.compress.utils.BitInputStreamTest.testReading31BitsInBigEndian,"BitInputStream, ByteArrayInputStream, BitInputStreamTest"
org.apache.commons.compress.archivers.zip.ZipFileTest.testExcessDataInZip64ExtraField,"URL, StringBuilder, AbstractTestCase, FileNotFoundException, ZipFile, File, Class, IOException, ClassLoader, ZipFileTest, ZipArchiveEntry"
org.apache.commons.compress.compressors.GZipTestCase.testInvalidCompressionLevel,"GzipParameters, GZipTestCase"
org.apache.commons.compress.archivers.JarTestCase.testJarUnarchive,"ArchiveInputStream, FileOutputStream, InputStream, File, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, JarTestCase, ZipArchiveEntry"
org.apache.commons.compress.archivers.zip.EncryptedArchiveTest.testReadPasswordEncryptedEntryViaZipFile,"URL, StringBuilder, EncryptedArchiveTest, GeneralPurposeBit, AbstractTestCase, FileNotFoundException, ZipFile, File, UnsupportedZipFeatureException, Class, IOException, ClassLoader, ZipArchiveEntry"
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraFieldTest.testReparseCDSingleEightByteData,"Zip64ExtendedInformationExtraField, Zip64ExtendedInformationExtraFieldTest, System, ZipEightByteInteger"
org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest.testWriteLongDirectoryNameTruncateMode,"StringBuilder, String, ByteArrayOutputStream, TarArchiveInputStream, TarArchiveOutputStreamTest, TarArchiveEntry, TarArchiveOutputStream, ByteArrayInputStream"
org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest.testUnshrinkEntry,"URL, StringBuilder, ZipArchiveInputStreamTest, ZipArchiveInputStream, AbstractTestCase, FileNotFoundException, File, FileInputStream, IOUtils, Class, IOException, ClassLoader, ZipArchiveEntry, ZipMethod"
org.apache.commons.compress.archivers.TarTestCase.testExplicitDirectoryEntry,"FileOutputStream, TarTestCase, TarArchiveInputStream, File, TarArchiveEntry, FileInputStream, TarArchiveOutputStream, Date"
org.apache.commons.compress.compressors.FramedSnappyTestCase.testDefaultExtractionViaFactoryAutodetection,"Object, FileOutputStream, FramedSnappyTestCase$3, FramedSnappyTestCase, AbstractTestCase$StreamWrapper, File, FileInputStream, BufferedInputStream, IOUtils, CompressorInputStream, CompressorStreamFactory"
org.apache.commons.compress.archivers.zip.GeneralPurposeBitTest.testParseEdgeCases,"GeneralPurposeBitTest, GeneralPurposeBit"
org.apache.commons.compress.archivers.SevenZTestCase.testSevenZArchiveCreationUsingDeflate,"SevenZTestCase, SevenZFile, SevenZOutputFile, File, FileInputStream, AssertionError, SevenZArchiveEntry"
org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest.testBCJIA64Roundtrip,"StringBuilder, SevenZFile, SevenZMethodConfiguration, ArrayList, SevenZOutputFile, SevenZOutputFileTest, File, SevenZArchiveEntry, Boolean"
org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromTar,"ArchiveInputStream, ArchiveOutputStream, ChangeSetTestCase, ArrayList, FileOutputStream, ChangeSetPerformer, List, ChangeSet, File, FileInputStream, ArchiveStreamFactory"
org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest.testDeflateWithConfiguration,"StringBuilder, Collections, SevenZFile, SevenZMethodConfiguration, SevenZOutputFile, SevenZOutputFileTest, File, Boolean, SevenZArchiveEntry, Integer"
org.apache.commons.compress.utils.BitInputStreamTest.testReading24BitsInLittleEndian,"BitInputStream, ByteArrayInputStream, BitInputStreamTest"
org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest.winzipBackSlashWorkaround,"URL, StringBuilder, ZipArchiveInputStreamTest, ZipArchiveInputStream, AbstractTestCase, FileNotFoundException, File, FileInputStream, Class, IOException, ClassLoader, ZipArchiveEntry"
org.apache.commons.compress.changes.ChangeSetTestCase.testChangeSetResults,"ArchiveInputStream, StringBuilder, ArchiveOutputStream, Iterator, ChangeSetTestCase, String, FileOutputStream, ChangeSetPerformer, List, InputStream, ChangeSet, File, FileInputStream, ChangeSetResults, ArchiveStreamFactory"
org.apache.commons.compress.compressors.snappy.FramedSnappyCompressorInputStreamTest.testAvailable,"FramedSnappyCompressorInputStream, FramedSnappyCompressorInputStreamTest, FileInputStream"
org.apache.commons.compress.archivers.TarTestCase.testTarArchiveCreation,"ArchiveOutputStream, FileOutputStream, TarTestCase, File, TarArchiveEntry, FileInputStream, IOUtils, ArchiveStreamFactory"
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraFieldTest.testReadLFHSizesOnly,"Zip64ExtendedInformationExtraField, Zip64ExtendedInformationExtraFieldTest, System, ZipEightByteInteger"
org.apache.commons.compress.compressors.BZip2UtilsTestCase.testIsCompressedFilename,"BZip2UtilsTestCase, BZip2Utils"
org.apache.commons.compress.utils.CountingStreamTest.input,"CountingInputStream, ByteArrayInputStream, CountingStreamTest"
org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest.testDirectoriesAndEmptyFiles,"SevenZFile, Calendar, SevenZOutputFile, SevenZOutputFileTest, File, AssertionError, SevenZArchiveEntry, Date"
org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest.testWriteLongLinkNameErrorMode,"TarArchiveOutputStreamTest, TarArchiveEntry, ByteArrayOutputStream, TarArchiveOutputStream"
org.apache.commons.compress.utils.IOUtilsTest.skipUsingSkip,"IOUtils, Object, IOUtilsTest$StreamWrapper, InputStream, IOUtilsTest, ByteArrayInputStream, IOUtilsTest$1"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRawNameReadFromStream,"FileInputStream, ZipArchiveInputStream, UTF8ZipFilesTest"
org.apache.commons.compress.compressors.pack200.Pack200UtilsTest.testNormalizeInPlace,"ArchiveInputStream, Pack200Utils, Pack200UtilsTest, FileOutputStream, File, FileInputStream, IOUtils, ArchiveEntry, OutputStream, ArchiveStreamFactory"
org.apache.commons.compress.archivers.CpioTestCase.testExplicitFileEntry,"FileOutputStream, CpioArchiveInputStream, File, CpioArchiveEntry, FileInputStream, CpioArchiveOutputStream, CpioTestCase, Date"
org.apache.commons.compress.archivers.arj.ArjArchiveInputStreamTest.testReadingOfAttributesUnixVersion,"ArjArchiveInputStream, Calendar, FileInputStream, ArjArchiveInputStreamTest, TimeZone, ArjArchiveEntry"
org.apache.commons.compress.compressors.GZipTestCase.testGzipUnarchive,"FileOutputStream, InputStream, File, FileInputStream, IOUtils, CompressorInputStream, GZipTestCase, CompressorStreamFactory"
org.apache.commons.compress.archivers.ZipTestCase.testZipUnarchive,"ArchiveInputStream, FileOutputStream, File, ZipTestCase, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, ZipArchiveEntry"
org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest.shouldUseSpecifiedEncodingWhenReadingGNULongNames,"TarArchiveInputStreamTest, ByteArrayOutputStream, TarArchiveInputStream, TarArchiveEntry, TarArchiveOutputStream, ByteArrayInputStream"
org.apache.commons.compress.ArchiveReadTest.testArchive,"StringBuilder, ArchiveReadTest, ArrayList"
org.apache.commons.compress.archivers.zip.X7875_NewUnixTest.testTrimLeadingZeroesForceMinLength4,"Arrays, X7875_NewUnixTest, X7875_NewUnix"
org.apache.commons.compress.archivers.zip.GeneralPurposeBitTest.testDataDescriptor,"Arrays, GeneralPurposeBitTest, GeneralPurposeBit"
org.apache.commons.compress.compressors.GZipTestCase.testExtraFlagsFastestCompression,"ByteArrayOutputStream, GzipParameters, GzipCompressorOutputStream, FileInputStream, IOUtils, GZipTestCase, ByteArrayInputStream"
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreatorTest.callableApi,"ZipArchiveOutputStream, ParallelScatterZipCreator, ParallelScatterZipCreatorTest, Map, FileBasedScatterGatherBackingStore, HashMap, ParallelScatterZipCreatorTest$1, File, ZipFile, IOUtils, ParallelScatterZipCreatorTest$3, Executors, Enumeration, StringBuilder, Object, String, ByteArrayInputStream, ZipArchiveEntry"
org.apache.commons.compress.compressors.BZip2TestCase.testBzipCreation,"FileOutputStream, InputStream, BZip2TestCase, File, FileInputStream, IOUtils, CompressorOutputStream, CompressorStreamFactory"
org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testFileSystemRoot,"File, TarArchiveEntry, TarArchiveEntryTest"
org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest.readNonAsciiPaxHeader,"StringBuilder, TarArchiveInputStreamTest, String, Map, TarArchiveInputStream, ByteArrayInputStream"
org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest.testBzip2WithConfiguration,"StringBuilder, Collections, SevenZFile, SevenZMethodConfiguration, SevenZOutputFile, SevenZOutputFileTest, File, Boolean, SevenZArchiveEntry, Integer"
org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest.testSevenEmptyFiles,"StringBuilder, SevenZFile, SevenZOutputFile, SevenZOutputFileTest, File, SevenZArchiveEntry, Boolean"
org.apache.commons.compress.compressors.snappy.FramedSnappyCompressorInputStreamTest.testChecksumUnmasking,"FramedSnappyCompressorInputStream, FramedSnappyCompressorInputStreamTest, Long"
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntryTest.shouldThrowIfNoCreationDateIsSet,"SevenZArchiveEntryTest, SevenZArchiveEntry"
org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testParseWithRead,"StringBuilder, ZipExtraField, System, ExtraFieldUtilsTest, ZipShort, AsiExtraField, ExtraFieldUtils"
org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest.shouldReadNestedZip,"URL, StringBuilder, String, ZipArchiveInputStreamTest, ZipArchiveInputStream, AbstractTestCase, FileNotFoundException, File, FileInputStream, Class, IOException, ClassLoader, ZipArchiveEntry"
org.apache.commons.compress.archivers.TarTestCase.testTarUnarchive,"ArchiveInputStream, FileOutputStream, TarTestCase, File, FileInputStream, TarArchiveEntry, IOUtils, OutputStream, ArchiveStreamFactory"
org.apache.commons.compress.archivers.zip.ZipShortTest.testClone,"ZipShort, ZipShortTest"
org.apache.commons.compress.archivers.zip.GeneralPurposeBitTest.testClone,"GeneralPurposeBitTest, GeneralPurposeBit"
org.apache.commons.compress.compressors.GZipTestCase.testCorruptedInput,"OutputStream, ByteArrayOutputStream, InputStream, FileInputStream, IOUtils, CompressorInputStream, GZipTestCase, CompressorStreamFactory, ByteArrayInputStream"
org.apache.commons.compress.compressors.GzipUtilsTestCase.testIsCompressedFilename,"GzipUtils, GzipUtilsTestCase"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra,"ZipArchiveOutputStream, StringBuilder, String, UTF8ZipFilesTest, ZipEncodingHelper, ZipArchiveEntry, ByteBuffer, UnicodePathExtraField, File, ZipFile, AssertionError, ZipEncoding, Enumeration"
