Method,Used Classes
org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testMerge,"UnrecognizedExtraField, System, ExtraFieldUtilsTest, ZipShort, ExtraFieldUtils, StringBuffer"
org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testClone,"AsiExtraFieldTest, AsiExtraField"
org.apache.commons.compress.archivers.JarTestCase.testJarUnarchive,"ArchiveInputStream, FileOutputStream, InputStream, File, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, JarTestCase, ZipArchiveEntry"
org.apache.commons.compress.archivers.TarTestCase.testExplicitDirectoryEntry,"FileOutputStream, TarTestCase, TarArchiveInputStream, File, TarArchiveEntry, FileInputStream, TarArchiveOutputStream, Date"
org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromTar,"ArchiveInputStream, ArchiveOutputStream, ChangeSetTestCase, ArrayList, FileOutputStream, ChangeSetPerformer, List, ChangeSet, File, FileInputStream, ArchiveStreamFactory"
org.apache.commons.compress.changes.ChangeSetTestCase.testChangeSetResults,"ArchiveInputStream, ArchiveOutputStream, Iterator, ChangeSetTestCase, String, FileOutputStream, ChangeSetPerformer, List, InputStream, ChangeSet, StringBuffer, File, FileInputStream, ChangeSetResults, ArchiveStreamFactory"
org.apache.commons.compress.archivers.TarTestCase.testTarArchiveCreation,"ArchiveOutputStream, FileOutputStream, TarTestCase, File, TarArchiveEntry, FileInputStream, IOUtils, ArchiveStreamFactory"
org.apache.commons.compress.compressors.BZip2UtilsTestCase.testIsCompressedFilename,"BZip2UtilsTestCase, BZip2Utils"
org.apache.commons.compress.archivers.CpioTestCase.testExplicitFileEntry,"FileOutputStream, CpioArchiveInputStream, File, CpioArchiveEntry, FileInputStream, CpioArchiveOutputStream, CpioTestCase, Date"
org.apache.commons.compress.compressors.GZipTestCase.testGzipUnarchive,"FileOutputStream, InputStream, File, FileInputStream, IOUtils, CompressorInputStream, GZipTestCase, CompressorStreamFactory"
org.apache.commons.compress.archivers.ZipTestCase.testZipUnarchive,"ArchiveInputStream, FileOutputStream, File, ZipTestCase, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, ZipArchiveEntry"
org.apache.commons.compress.compressors.BZip2TestCase.testBzipCreation,"FileOutputStream, InputStream, BZip2TestCase, File, FileInputStream, IOUtils, CompressorOutputStream, CompressorStreamFactory"
