Method,Used Classes
org.apache.commons.math.ode.nonstiff.AdamsBashforthIntegratorTest.exceedMaxEvaluations,"TestProblemHandler, Object, AdamsBashforthIntegrator, TestProblem1, AdamsBashforthIntegratorTest, TestProblemAbstract"
org.apache.commons.math.linear.SparseFieldMatrixTest.testGetColumnVector,"SparseFieldMatrixTest, FieldMatrix, SparseFieldMatrix, ArrayFieldVector"
org.apache.commons.math.optimization.general.MinpackTest.testMinpackLinearRank1,"MinpackTest$LinearRank1Function, Object, Arrays, LevenbergMarquardtOptimizer, MinpackTest$MinpackFunction, VectorialPointValuePair, MinpackTest$MinpackFunction$1, Math, MinpackTest"
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest.testGetValues,"DescriptiveStatistics, DescriptiveStatisticsTest"
org.apache.commons.math.linear.FieldMatrixImplTest.testGetRowVector,"FieldMatrix, ArrayFieldVector, FieldMatrixImplTest, Array2DRowFieldMatrix"
org.apache.commons.math.util.MathUtilsTest.testEqualsIncludingNaNWithAllowedUlps,"MathUtilsTest, Math, MathUtils"
org.apache.commons.math.linear.SparseFieldMatrixTest.testMultiply2,"SparseFieldMatrix, SparseFieldMatrixTest, FieldMatrix"
org.apache.commons.math.stat.inference.TTestFactoryTest.testOneSampleTTest,
org.apache.commons.math.optimization.general.MinpackTest.testMinpackChebyquad,"Object, Arrays, LevenbergMarquardtOptimizer, MinpackTest$ChebyquadFunction, MinpackTest$MinpackFunction, VectorialPointValuePair, MinpackTest$MinpackFunction$1, Math, MinpackTest"
org.apache.commons.math.optimization.direct.NelderMeadTest.testPowell,"Object, NelderMead, NelderMeadTest$Powell, SimpleScalarValueChecker, RealPointValuePair, NelderMeadTest"
org.apache.commons.math.optimization.general.MinpackTest.testMinpackMeyer,"Object, Arrays, LevenbergMarquardtOptimizer, MinpackTest$MinpackFunction, VectorialPointValuePair, MinpackTest$MinpackFunction$1, MinpackTest$MeyerFunction, Math, MinpackTest"
org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest.testStats,
org.apache.commons.math.util.OpenIntToFieldTest.testPutOnExisting,"Map, OpenIntToFieldTest, OpenIntToFieldHashMap, Set, Map$Entry, Integer, Iterator"
org.apache.commons.math.complex.ComplexFormatTest.testParseNegativeReal,
org.apache.commons.math.analysis.ComposableFunctionTest.testSimpleCombination,"ComposableFunctionTest, Math, ComposableFunction"
org.apache.commons.math.stat.descriptive.rank.PercentileTest.testHighPercentile,"PercentileTest, Percentile"
org.apache.commons.math.fraction.BigFractionTest.testReciprocal,"BigFractionTest, BigFraction"
org.apache.commons.math.stat.regression.SimpleRegressionTest.testNaNs,"SimpleRegressionTest, Double, SimpleRegression"
org.apache.commons.math.transform.FastFourierTransformerTest.test2DData,"FastFourierTransformer, FastFourierTransformerTest, Complex"
org.apache.commons.math.linear.EigenSolverTest.testInvertible,"EigenDecompositionImpl, EigenDecompositionImplTest, RealMatrix, MatrixUtils, Random, DecompositionSolver, EigenSolverTest, Math"
org.apache.commons.math.linear.BigMatrixImplTest.testToString,"BigMatrixImplTest, BigMatrixImpl"
org.apache.commons.math.linear.QRDecompositionImplTest.testDimensions,"DefaultRealMatrixChangingVisitor, QRDecomposition, RealMatrix, QRDecompositionImplTest$3, MatrixUtils, Random, QRDecompositionImplTest, QRDecompositionImpl"
org.apache.commons.math.estimation.MinpackTest.testMinpackPowellSingular,"StringBuilder, Object, EstimatedParameter, WeightedMeasurement, Arrays, MinpackTest$MinpackFunction$MinpackMeasurement, LevenbergMarquardtEstimator, MinpackTest$MinpackFunction, MinpackTest$PowellSingularFunction, Math, MinpackTest"
org.apache.commons.math.stat.StatUtilsTest.testPercentile,"StatUtilsTest, StatUtils"
org.apache.commons.math.linear.MatrixUtilsTest.testCreateRowBigMatrix,"BigMatrixImpl, MatrixUtils, MatrixUtilsTest"
org.apache.commons.math.complex.ComplexFormatTest.testParseDifferentImaginaryChar,
org.apache.commons.math.util.ResizableDoubleArrayTest.testSubstitute,"ResizableDoubleArrayTest, ResizableDoubleArray, DoubleArray"
