Method,Used Classes
org.apache.commons.cli.BugsTest.test11456,"StringBuilder, Options, CommandLineParser, PosixParser, OptionBuilder, GnuParser, BugsTest, ParseException, CommandLine"
org.apache.commons.cli.BugsTest.test19383,
org.apache.commons.cli.ValuesTest.testCharSeparator,"ValuesTest, CommandLine, Arrays"
org.apache.commons.cli.ValueTest.testLongOptionalArgValues,"StringBuilder, CommandLineParser, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.BugsTest.test11457,"StringBuilder, Options, CommandLineParser, PosixParser, OptionBuilder, BugsTest, ParseException, CommandLine"
org.apache.commons.cli.ParseTest.testStop,"ParseTest, StringBuilder, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.OptionGroupTest.testValidLongOnlyOptions,"OptionGroupTest, CommandLineParser, CommandLine, ParseException"
org.apache.commons.cli.BugsTest.test11680,"StringBuilder, NullPointerException, Options, CommandLineParser, PosixParser, BugsTest, ParseException, CommandLine"
org.apache.commons.cli.ValueTest.testShortWithArg,"CommandLine, ValueTest"
org.apache.commons.cli.ValueTest.testLongOptionalArgValue,"StringBuilder, CommandLineParser, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.ValuesTest.testMultipleArgValues,"ValuesTest, CommandLine, Arrays"
org.apache.commons.cli.ValueTest.testPropertyOptionMultipleValues,"StringBuilder, Arrays, CommandLineParser, Properties, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.ValuesTest.testComplexValues,"ValuesTest, CommandLine, Arrays"
org.apache.commons.cli.ValueTest.testPropertyOptionSingularValue,"StringBuilder, CommandLineParser, Properties, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.bug.BugCLI51Test.test,"OptionBuilder, Options, CommandLineParser, CommandLine, PosixParser, BugCLI51Test"
org.apache.commons.cli.GnuParseTest.testMultiple,"StringBuilder, String, Object, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.OptionBuilderTest.testIllegalOptions,"OptionBuilderTest, OptionBuilder"
org.apache.commons.cli.GnuParseTest.testSimpleLong,"String, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.ParseRequiredTest.testOptionAndRequiredOption,"String, CommandLineParser, ParseRequiredTest, ParseException, CommandLine, List"
org.apache.commons.cli.BugsTest.test12210,"StringBuilder, Option, Options, OptionGroup, GnuParser, BugsTest, ParseException, CommandLine"
org.apache.commons.cli.ValueTest.testShortOptionalArgNoValue,"StringBuilder, CommandLineParser, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.ParseTest.testMultiple,"ParseTest, StringBuilder, String, Object, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ValueTest.testPropertyOptionFlags,"StringBuilder, CommandLineParser, Properties, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.OptionGroupTest.testNoOptionsExtraArgs,"OptionGroupTest, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ArgumentIsOptionTest.testOptionWithArgument,"String, CommandLineParser, ArgumentIsOptionTest, ParseException, CommandLine"
org.apache.commons.cli.BugsTest.test13425,"Options, PosixParser, OptionBuilder, BugsTest, Parser"
org.apache.commons.cli.OptionBuilderTest.testSpecialOptChars,"Option, OptionBuilderTest, OptionBuilder"
org.apache.commons.cli.OptionBuilderTest.testBaseOptionStringOpt,"Option, OptionBuilderTest, OptionBuilder"
org.apache.commons.cli.OptionBuilderTest.testCompleteOption,"OptionBuilderTest, Object, Option, OptionBuilder, Float"
org.apache.commons.cli.BuildTest.testDuplicateLong,"BuildTest, Option, Options"
org.apache.commons.cli.GnuParseTest.testExtraOption,"String, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.BugsTest.test27635,
org.apache.commons.cli.ArgumentIsOptionTest.testOption,"CommandLineParser, ArgumentIsOptionTest, CommandLine, ParseException"
org.apache.commons.cli.ValueTest.testShortOptionalArgValue,"StringBuilder, CommandLineParser, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.ValuesTest.testExtraArgs,"ValuesTest, CommandLine, Arrays"
org.apache.commons.cli.ParseRequiredTest.testWithRequiredOption,"String, CommandLineParser, ParseRequiredTest, ParseException, CommandLine, List"
org.apache.commons.cli.ParseTest.testSimpleLong,"ParseTest, String, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.TestHelpFormatter.testAutomaticUsage,
org.apache.commons.cli.OptionBuilderTest.testOptionArgNumbers,"Option, OptionBuilderTest, OptionBuilder"
org.apache.commons.cli.OptionBuilderTest.testBaseOptionCharOpt,"Option, OptionBuilderTest, OptionBuilder"
org.apache.commons.cli.ValuesTest.testShortArgs,"ValuesTest, CommandLine"
org.apache.commons.cli.BugsTest.test15046,"Option, Options, CommandLineParser, PosixParser, BugsTest, CommandLine"
org.apache.commons.cli.ValueTest.testLongNoArg,"CommandLine, ValueTest"
org.apache.commons.cli.OptionGroupTest.testSingleLongOption,"OptionGroupTest, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ParseTest.testMultipleWithLong,"ParseTest, StringBuilder, String, Object, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ParseTest.testExtraOption,"ParseTest, String, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ValueTest.testLongOptionalNoValue,"StringBuilder, CommandLineParser, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.ApplicationTest.testAnt,"StringBuilder, Options, ApplicationTest, CommandLineParser, OptionBuilder, GnuParser, ParseException, CommandLine"
org.apache.commons.cli.TestHelpFormatter.testPrintWrapped,"StringBuilder, TestHelpFormatter, StringBuffer, HelpFormatter"
org.apache.commons.cli.OptionsTest.testHelpOptions,"ArrayList, Options, OptionBuilder, Collection, OptionsTest"
org.apache.commons.cli.GnuParseTest.testMultipleWithLong,"StringBuilder, String, Object, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.BugsTest.test14786,"Options, CommandLineParser, OptionBuilder, GnuParser, BugsTest, CommandLine"
org.apache.commons.cli.ParseTest.testSimpleShort,"ParseTest, String, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ValueTest.testLongWithArg,"CommandLine, ValueTest"
org.apache.commons.cli.ValueTest.testShortOptionalNArgValues,"StringBuilder, CommandLineParser, PosixParser, ParseException, CommandLine, ValueTest"
org.apache.commons.cli.BuildTest.testLong,"BuildTest, Options"
org.apache.commons.cli.OptionGroupTest.testSingleOptionFromGroup,"OptionGroupTest, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ParseTest.testMissingArg,"ParseTest, CommandLineParser, ParseException"
org.apache.commons.cli.OptionGroupTest.testTwoOptionsFromGroup,"OptionGroupTest, CommandLineParser, StringBuilder, ParseException"
org.apache.commons.cli.ValueTest.testShortNoArg,"CommandLine, ValueTest"
org.apache.commons.cli.bug.BugCLI13Test.testCLI13,"Options, OptionBuilder, PosixParser, BugCLI13Test, CommandLine"
org.apache.commons.cli.BugsTest.test15648,"Options, CommandLineParser, OptionBuilder, PosixParser, BugsTest, CommandLine"
org.apache.commons.cli.OptionGroupTest.testTwoOptionsFromDifferentGroup,"OptionGroupTest, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ParseRequiredTest.testMissingRequiredOption,"CommandLineParser, ParseRequiredTest"
org.apache.commons.cli.GnuParseTest.testSimpleShort,"String, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.GnuParseTest.testDoubleDash,"StringBuilder, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.BuildTest.testDuplicateSimple,"BuildTest, Option, Options"
org.apache.commons.cli.ArgumentIsOptionTest.testOptionAndOptionWithArgument,"String, CommandLineParser, ArgumentIsOptionTest, ParseException, CommandLine"
org.apache.commons.cli.GnuParseTest.testSingleDash,"StringBuilder, String, Object, CommandLineParser, GnuParseTest, ParseException, CommandLine, List"
org.apache.commons.cli.BuildTest.testSimple,"BuildTest, Options"
org.apache.commons.cli.OptionGroupTest.testTwoValidOptions,"OptionGroupTest, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.ValuesTest.testShortArgsWithValue,"ValuesTest, CommandLine, String"
org.apache.commons.cli.OptionGroupTest.testTwoValidLongOptions,"OptionGroupTest, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.PatternOptionBuilderTest.testSimplePattern,"URL, MalformedURLException, PatternOptionBuilder, CommandLineParser, PosixParser, Vector, File, Float, ParseException, PatternOptionBuilderTest, CommandLine"
org.apache.commons.cli.ValuesTest.testTwoArgValues,"ValuesTest, CommandLine, Arrays"
org.apache.commons.cli.ParseTest.testDoubleDash,"ParseTest, StringBuilder, CommandLineParser, ParseException, CommandLine, List"
org.apache.commons.cli.bug.BugCLI18Test.testCLI18,"Option, Options, PrintWriter, BugCLI18Test, StringWriter, HelpFormatter"
org.apache.commons.cli.TestHelpFormatter.testFindWrapPos,"TestHelpFormatter, HelpFormatter"
org.apache.commons.cli.OptionBuilderTest.testTwoCompleteOptions,"OptionBuilderTest, Object, Option, OptionBuilder, Float"
