Version,Strategy,Accuracy,FDR
1,Total,1.0,1
1,Mean,0.0,0
1,Max,0.0,0
1,Min,0.0,0
1,TotalLines,1.0,1
1,MeanLines,0.0,0
1,MaxLines,0.0,0
1,MinLines,1.0,1
2,Total,1.0,1
2,Mean,0.0,0
2,Max,0.0,0
2,Min,0.0,0
2,TotalLines,0.0,0
2,MeanLines,0.0,0
2,MaxLines,0.0,0
2,MinLines,0.0,0
3,Total,1.0,1
3,Mean,1.0,1
3,Max,1.0,1
3,Min,0.0,0
3,TotalLines,1.0,1
3,MeanLines,0.0,0
3,MaxLines,1.0,1
3,MinLines,0.0,0
4,Total,0.2,1
4,Mean,1.0,1
4,Max,1.0,1
4,Min,0.9,1
4,TotalLines,0.0,0
4,MeanLines,0.9,1
4,MaxLines,0.2,1
4,MinLines,0.9,1
5,Total,1.0,1
5,Mean,1.0,1
5,Max,1.0,1
5,Min,0.0,0
5,TotalLines,0.0,0
5,MeanLines,0.0,0
5,MaxLines,0.0,0
5,MinLines,0.0,0
6,Total,0.0,0
6,Mean,1.0,1
6,Max,1.0,1
6,Min,0.0,0
6,TotalLines,0.0,0
6,MeanLines,0.0,0
6,MaxLines,0.0,0
6,MinLines,1.0,1
7,Total,0.0,0
7,Mean,0.0,0
7,Max,0.0,0
7,Min,1.0,1
7,TotalLines,0.0,0
7,MeanLines,0.0,0
7,MaxLines,0.0,0
7,MinLines,1.0,1
8,Total,0.0,0
8,Mean,0.0,0
8,Max,0.0,0
8,Min,1.0,1
8,TotalLines,1.0,1
8,MeanLines,1.0,1
8,MaxLines,1.0,1
8,MinLines,1.0,1
9,Total,1.0,1
9,Mean,1.0,1
9,Max,1.0,1
9,Min,1.0,1
9,TotalLines,1.0,1
9,MeanLines,1.0,1
9,MaxLines,1.0,1
9,MinLines,0.0,0
10,Total,1.0,1
10,Mean,1.0,1
10,Max,1.0,1
10,Min,1.0,1
10,TotalLines,1.0,1
10,MeanLines,1.0,1
10,MaxLines,1.0,1
10,MinLines,1.0,1
11,Total,1.0,1
11,Mean,1.0,1
11,Max,1.0,1
11,Min,0.0,0
11,TotalLines,0.0,0
11,MeanLines,0.0,0
11,MaxLines,0.0,0
11,MinLines,0.0,0
12,Total,1.0,1
12,Mean,1.0,1
12,Max,0.0,0
12,Min,1.0,1
12,TotalLines,1.0,1
12,MeanLines,1.0,1
12,MaxLines,0.0,0
12,MinLines,1.0,1
13,Total,1.0,1
13,Mean,1.0,1
13,Max,1.0,1
13,Min,1.0,1
13,TotalLines,1.0,1
13,MeanLines,1.0,1
13,MaxLines,1.0,1
13,MinLines,0.5,1
14,Total,1.0,1
14,Mean,1.0,1
14,Max,1.0,1
14,Min,1.0,1
14,TotalLines,1.0,1
14,MeanLines,1.0,1
14,MaxLines,1.0,1
14,MinLines,1.0,1
15,Total,1.0,1
15,Mean,1.0,1
15,Max,1.0,1
15,Min,0.0,0
15,TotalLines,0.0,0
15,MeanLines,1.0,1
15,MaxLines,0.0,0
15,MinLines,1.0,1
16,Total,1.0,1
16,Mean,0.0,0
16,Max,1.0,1
16,Min,0.0,0
16,TotalLines,0.0,0
16,MeanLines,0.0,0
16,MaxLines,0.0,0
16,MinLines,0.0,0
17,Total,1.0,1
17,Mean,1.0,1
17,Max,1.0,1
17,Min,1.0,1
17,TotalLines,1.0,1
17,MeanLines,1.0,1
17,MaxLines,1.0,1
17,MinLines,1.0,1
18,Total,1.0,1
18,Mean,1.0,1
18,Max,1.0,1
18,Min,1.0,1
18,TotalLines,1.0,1
18,MeanLines,1.0,1
18,MaxLines,1.0,1
18,MinLines,1.0,1
19,Total,1.0,1
19,Mean,1.0,1
19,Max,1.0,1
19,Min,1.0,1
19,TotalLines,1.0,1
19,MeanLines,1.0,1
19,MaxLines,1.0,1
19,MinLines,1.0,1
20,Total,0.0,0
20,Mean,0.0,0
20,Max,1.0,1
20,Min,0.0,0
20,TotalLines,0.0,0
