Method,Used Classes
com.fasterxml.jackson.core.main.TestGeneratorClosing.testNoAutoCloseArraysAndObjects,"TestGeneratorClosing, JsonFactory, StringWriter, JsonGenerator"
com.fasterxml.jackson.core.filter.BasicGeneratorFilteringTest.testIndexMatchWithPath2,"JsonFactory, BitSet, BasicGeneratorFilteringTest, StringWriter, BasicGeneratorFilteringTest$IndexMatchFilter, FilteringGeneratorDelegate, TokenFilter"
com.fasterxml.jackson.core.json.TestRootValues.testSimpleNumbers,"TestRootValues, JsonParser"
com.fasterxml.jackson.core.main.TestNumberParsing.testIntParsingWithStrings,"TestNumberParsing, NumberInput"
com.fasterxml.jackson.core.json.TestCharEscaping.testInvalid,"TestCharEscaping, JsonParser"
com.fasterxml.jackson.core.json.JsonFactoryTest.testDisablingBufferRecycling,"JsonFactory, JsonGenerator, StringWriter, JsonParser, ByteArrayOutputStream, String, JsonFactoryTest"
com.fasterxml.jackson.core.filter.BasicParserFilteringTest.testSingleMatchFilteringWithPath,"JsonFactory, BasicParserFilteringTest, Arrays, FilteringParserDelegate, BasicParserFilteringTest$NameMatchFilter, TokenFilter, HashSet, Set"
com.fasterxml.jackson.core.sym.SymbolTableMergingTest.testByteSymbolsWithClose,"JsonFactory, Object, JsonParser, String, SymbolTableMergingTest, CharsToNameCanonicalizer, ByteQuadsCanonicalizer, SymbolTableMergingTest$MyJsonFactory"
com.fasterxml.jackson.core.json.TestJsonParser.testGetValueAsTextChars,"JsonFactory, String, JsonParserDelegate, TestJsonParser, JsonParser"
com.fasterxml.jackson.core.io.TestJsonStringEncoder.testQuoteLongAsString,"String, JsonStringEncoder, TestJsonStringEncoder, StringBuilder"
com.fasterxml.jackson.core.sym.TestByteBasedSymbols.testAuxMethodsWithNewSymboTable,"JsonFactory$Feature, ByteQuadsCanonicalizer, TestByteBasedSymbols"
com.fasterxml.jackson.core.main.TestParserClosing.testReleaseContentBytes,"JsonFactory, TestParserClosing, JsonParser, ByteArrayOutputStream, String"
com.fasterxml.jackson.core.json.ParserSequenceTest.testSimple,"JsonFactory, JsonParser, JsonParserSequence, ParserSequenceTest"
com.fasterxml.jackson.core.main.TestParserWithObjects.testIsClosed,"TestParserWithObjects, JsonParser"
com.fasterxml.jackson.core.json.TestValueConversions.testAsLong,"TestValueConversions, JsonParser"
com.fasterxml.jackson.core.base64.TestBase64Parsing.testBase64UsingInputStream,"JsonFactory, JsonGenerator, Exception, StringWriter, JsonParser, StringBuilder, ByteArrayOutputStream, IOException, TestBase64Parsing"
com.fasterxml.jackson.core.util.TestDelegates.testGeneratorDelegate,"JsonFactory, TestDelegates, JsonGenerator, StringWriter, JsonGeneratorDelegate"
com.fasterxml.jackson.core.filter.BasicGeneratorFilteringTest.testIndexMatchWithPath1,"JsonFactory, BitSet, BasicGeneratorFilteringTest, StringWriter, BasicGeneratorFilteringTest$IndexMatchFilter, FilteringGeneratorDelegate, TokenFilter"
com.fasterxml.jackson.core.sym.TestHashCollisionChars.testReaderCollisions,"JsonFactory, Iterator, StringBuilder, JsonParser, List, TestHashCollisionChars, ArrayList"
com.fasterxml.jackson.core.json.TestNumericValues.testBigNumbers,"JsonFactory, TestNumericValues, JsonParser, StringBuilder, BigInteger"
com.fasterxml.jackson.core.main.TestPrettyPrinter.testCustomRootSeparatorWithPP,"JsonFactory, JsonGenerator, StringWriter, DefaultPrettyPrinter, TestPrettyPrinter"
com.fasterxml.jackson.core.json.GeneratorBasicTest.testIntValueWrite,"JsonFactory, JsonGenerator, StringWriter, GeneratorBasicTest, JsonParser, StringBuilder, String"
com.fasterxml.jackson.core.json.TestLocation.testOffsetWithInputOffset,"JsonFactory, JsonParser, String, TestLocation, JsonLocation"
com.fasterxml.jackson.core.main.TestGeneratorClosing.testNoAutoCloseOutputStream,"JsonFactory, ByteArrayOutputStream, TestGeneratorClosing, TestGeneratorClosing$MyStream, JsonGenerator"
com.fasterxml.jackson.core.filter.JsonPointerParserFilteringTest.testSimpleNoPath,
com.fasterxml.jackson.core.main.TestGeneratorArray.testInvalidArrayWrite,"JsonGenerator, JsonFactory, TestGeneratorArray, StringWriter"
com.fasterxml.jackson.core.json.TestGeneratorDupHandling.testSimpleDupsLazilyChars,"JsonFactory, TestGeneratorDupHandling, ByteArrayOutputStream, JsonGenerator, StringWriter"
com.fasterxml.jackson.core.json.TestJsonParser.testHandlingOfInvalidSpaceChars,"JsonFactory, InputStreamReader, Object, Class, TestJsonParser, JsonParser"
com.fasterxml.jackson.core.sym.SymbolsViaParserTest.test17ByteSymbols,"HashSet, JsonFactory, StringBuilder, String, SymbolsViaParserTest, JsonParser"
com.fasterxml.jackson.core.main.TestParserFeatures.testDefaultSettings,"JsonFactory, TestParserFeatures"
com.fasterxml.jackson.core.TestExceptions.testAccessToGenerator,"JsonFactory, JsonGenerator, StringWriter, JsonGenerationException, TestExceptions"
com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures.testNumbersAsJSONStrings,"JsonFactory, JsonGenerator, StringWriter, BigDecimal, BigInteger, TestJsonGeneratorFeatures"
com.fasterxml.jackson.core.json.TestGeneratorDupHandling.testSimpleDupsEagerlyChars,"JsonFactory, TestGeneratorDupHandling, ByteArrayOutputStream, JsonGenerator, StringWriter"
com.fasterxml.jackson.core.TestJsonPointer.testLongNumbers,"TestJsonPointer, JsonPointer, String"
com.fasterxml.jackson.core.main.TestArrayParsing.testInvalidEmptyMissingClose,"JsonParser, TestArrayParsing"
com.fasterxml.jackson.core.format.TestJsonFormatDetection.testSimpleValidString,"JsonFactory, ByteArrayInputStream, JsonParser, String, DataFormatMatcher, TestJsonFormatDetection, DataFormatDetector"
com.fasterxml.jackson.core.main.TestParserClosing.testAutoCloseReader,"JsonFactory, TestParserClosing$MyReader, StringReader, TestParserClosing, JsonParser"
com.fasterxml.jackson.core.io.TestJsonStringEncoder.testEncodeAsUTF8,"String, JsonStringEncoder, Random, TestJsonStringEncoder, StringBuilder"
com.fasterxml.jackson.core.json.LocationInObjectTest.testOffsetWithObjectFieldsUsingUTF8,"JsonFactory, JsonParser, String, LocationInObjectTest, JsonLocation"
com.fasterxml.jackson.core.util.TestVersionUtil.testMavenVersionParsing,"TestVersionUtil, Class, VersionUtil, Version"
com.fasterxml.jackson.core.json.TestComments.testYAMLCommentsChars,"JsonFactory, JsonParser, StringBuilder, String, RuntimeException, TestComments"
com.fasterxml.jackson.core.json.GeneratorBasicTest.testLongValueWrite,"JsonFactory, JsonGenerator, StringWriter, GeneratorBasicTest, JsonParser, StringBuilder, String"
com.fasterxml.jackson.core.format.TestJsonFormatDetection.testSimpleValidObject,"JsonFactory, ByteArrayInputStream, JsonParser, String, DataFormatMatcher, TestJsonFormatDetection, DataFormatDetector"
com.fasterxml.jackson.core.io.TestJsonStringEncoder.testQuoteAsString,"String, JsonStringEncoder, TestJsonStringEncoder"
com.fasterxml.jackson.core.json.TestWithTonsaSymbols.testReaderParser,"JsonFactory, TestWithTonsaSymbols, ByteArrayInputStream, JsonParser, StringBuilder, String, StringReader"
com.fasterxml.jackson.core.util.TestDefaultPrettyPrinter.testWindowsLinefeed,"JsonFactory, TestDefaultPrettyPrinter, JsonGenerator, DefaultIndenter, StringWriter, DefaultPrettyPrinter, ByteArrayOutputStream"
com.fasterxml.jackson.core.main.TestGeneratorObject.testSimpleObjectWrite,"JsonFactory, JsonGenerator, StringWriter, TestGeneratorObject, JsonParser"
com.fasterxml.jackson.core.json.TestCharEscaping.testWriteLongCustomEscapes,"JsonFactory, JsonGenerator, StringWriter, StringBuilder, TestCharEscaping"
com.fasterxml.jackson.core.main.TestGeneratorArray.testEmptyArrayWrite,"JsonFactory, JsonGenerator, StringWriter, StringBuilder, JsonParser, TestGeneratorArray, JsonStreamContext"
com.fasterxml.jackson.core.json.TestUtf8Parser.testUtf8StringValue,"JsonFactory, TestUtf8Parser, Random, ByteArrayInputStream, StringBuilder, JsonParser, ByteArrayOutputStream, String, OutputStreamWriter"
com.fasterxml.jackson.core.json.GeneratorBasicTest.testOutputContext,"JsonFactory, JsonGenerator, StringWriter, GeneratorBasicTest, JsonStreamContext"
com.fasterxml.jackson.core.json.TestNextXxx.testIsNextTokenName,"JsonFactory, TestNextXxx, ByteArrayInputStream, JsonParser, String, StringReader, SerializedString"
com.fasterxml.jackson.core.TestJsonPointer.testAppend,"TestJsonPointer, JsonPointer"
com.fasterxml.jackson.core.main.TestNumberParsing.testLongParsing,"TestNumberParsing, String, NumberInput"
com.fasterxml.jackson.core.filter.JsonPointerParserFilteringTest.testSimplestNoPath,
