Method,Used Classes
org.apache.commons.codec.digest.Md5CryptTest.testMd5CryptBytes,"Md5CryptTest, String, Crypt"
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualMary,
org.apache.commons.codec.CharEncodingTest.testUtf16,
org.apache.commons.codec.binary.Base64Test.testIsStringBase64,"Base64Test, Base64"
org.apache.commons.codec.language.MatchRatingApproachEncoderTest.testCompare_SEAN_SHAUN_SuccessfullyMatched,"MatchRatingApproachEncoderTest, MatchRatingApproachEncoder"
org.apache.commons.codec.language.MatchRatingApproachEncoderTest.testGetEncoding_Null_to_Nothing,"MatchRatingApproachEncoderTest, MatchRatingApproachEncoder"
org.apache.commons.codec.language.NysiisTest.testDad,"StringBuilder, NysiisTest, Nysiis"
org.apache.commons.codec.language.SoundexTest.testNewInstance3,"Soundex, SoundexTest"
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest.testEncodeAtzNotEmpty,"BeiderMorseEncoderTest, BeiderMorseEncoder"
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10Decode,"StringUtils, Base64Test, Base64"
org.apache.commons.codec.language.MatchRatingApproachEncoderTest.testRemoveVowel__DECLAN_Returns_DCLN,"MatchRatingApproachEncoderTest, MatchRatingApproachEncoder"
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest.testInvalidLanguageIllegalArgumentException,"Languages, BeiderMorseEncoderTest"
org.apache.commons.codec.digest.UnixCryptTest.testUnixCryptWithoutSalt,"UnixCrypt, UnixCryptTest, String"
org.apache.commons.codec.language.MatchRatingApproachEncoderTest.testCompare_SOPHIE_SOFIA_SuccessfullyMatched,"MatchRatingApproachEncoderTest, MatchRatingApproachEncoder"
org.apache.commons.codec.binary.Base64Codec13Test.testBinaryDecoder,"StringBuilder, String, Arrays, Base64Codec13Test, Base64, BinaryDecoder"
org.apache.commons.codec.binary.StringUtilsTest.testNewStringUtf16,"StringUtilsTest, String, StringUtils"
org.apache.commons.codec.binary.Base32OutputStreamTest.testWriteOutOfBounds,"Base32OutputStreamTest, ByteArrayOutputStream, Base32OutputStream"
org.apache.commons.codec.binary.HexTest.testDecodeHexCharArrayOddCharacters1,"HexTest, Hex"
org.apache.commons.codec.digest.HmacUtilsTest.testEmptyKey,"HmacUtils, HmacUtilsTest"
org.apache.commons.codec.digest.Md5CryptTest.testMd5CryptLongInput,"Md5CryptTest, Crypt"
org.apache.commons.codec.binary.HexTest.testDecodeByteArrayOddCharacters,"HexTest, Hex"
org.apache.commons.codec.language.Caverphone1Test.testEndMb,Caverphone1Test
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualSusan,
org.apache.commons.codec.language.DaitchMokotoffSoundexTest.testSpecialRomanianCharacters,"DaitchMokotoffSoundexTest, DaitchMokotoffSoundex"
org.apache.commons.codec.binary.Base64OutputStreamTest.testWriteToNullCoverage,"Base64OutputStreamTest, ByteArrayOutputStream, Base64OutputStream"
org.apache.commons.codec.binary.Base64Test.testConstructor_Int_ByteArray_Boolean,"StringUtils, Base64Test, String, Base64"
