TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.codec.binary.Base64Codec13Test.testStaticDecodeChunked,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Base64Codec13Test"", ""StringBuffer""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncode,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Base64Codec13Test"", ""StringBuffer""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testBinaryEncoder,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""StringBuffer"", ""Base64Codec13Test"", ""BinaryEncoder"", ""Base64""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testDecoder,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Decoder"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Base64Codec13Test"", ""StringBuffer""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testEncoder,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Encoder"", ""Base64Codec13Test"", ""StringBuffer""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testStaticDecode,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Base64Codec13Test"", ""StringBuffer""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncodeChunked,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Base64Codec13Test"", ""StringBuffer""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.Base64Codec13Test.testBinaryDecoder,1.5,0.7794117647058824,0.058823529411764705,1.5588235294117647,0.11320754716981131,0.2970442628930023,0.7205882352941176,823.5,513.9852941176471,204.47058823529412,1027.9705882352941,327.59989699865525,410.343184921798,309.5147058823529,"[""String"", ""IllegalStateException"", ""Arrays"", ""UnsupportedEncodingException"", ""Base64"", ""Base64Codec13Test"", ""StringBuffer"", ""BinaryDecoder""]","[1.5, 0.058823529411764705]","[823.5, 204.47058823529412]"
org.apache.commons.codec.binary.HexTest.testHelloWorldUpperCaseHex,0.17647058823529413,0.10784313725490197,0.029411764705882353,0.3235294117647059,0.062283737024221464,0.08483821001808285,0.06043543140165664,62.088235294117645,52.70588235294118,36.588235294117645,158.11764705882354,49.78372676834325,51.30338947171714,11.448017008443232,"[""StringUtils"", ""HexTest"", ""String"", ""Hex""]","[0.17647058823529413, 0.11764705882352941, 0.029411764705882353]","[59.44117647058823, 62.088235294117645, 36.588235294117645]"
org.apache.commons.codec.binary.HexTest.testEncodeDecodeRandom,0.17647058823529413,0.10784313725490197,0.029411764705882353,0.3235294117647059,0.062283737024221464,0.08483821001808285,0.06043543140165664,62.088235294117645,52.70588235294118,36.588235294117645,158.11764705882354,49.78372676834325,51.30338947171714,11.448017008443232,"[""String"", ""Arrays"", ""HexTest"", ""StringUtils"", ""Random"", ""Hex""]","[0.17647058823529413, 0.11764705882352941, 0.029411764705882353]","[59.44117647058823, 62.088235294117645, 36.588235294117645]"
