Method,Used Classes
com.fasterxml.jackson.databind.misc.TestJSONP.BaseMapTest,
com.fasterxml.jackson.databind.deser.TestCustomFactory.BaseMapTest,
com.fasterxml.jackson.databind.ser.TestJdkTypes.testFile,"ObjectMapper, TestJdkTypes, File, String"
com.fasterxml.jackson.databind.ser.TestJsonSerialize.testStaticTypingWithArray,"ObjectMapper, Object, TestJsonSerialize$ValueClass, TestJsonSerialize"
com.fasterxml.jackson.databind.introspect.TestPOJOPropertiesCollector.testGlobalVisibilityForGetters,"ObjectMapper, BasicClassIntrospector, Map, TestPOJOPropertiesCollector, POJOPropertiesCollector"
com.fasterxml.jackson.databind.deser.TestIgnoredTypes.testSingleWithMixins,"ObjectMapper, Object, SimpleModule, TestIgnoredTypes$Person, TestIgnoredTypes$PersonWrapper, TestIgnoredTypes"
com.fasterxml.jackson.databind.ser.TestExceptionSerialization.BaseMapTest,
com.fasterxml.jackson.databind.ser.TestJsonValue.testJsonValueWithCustomOverride,"Object, JsonGenerator, TestJsonValue, StdScalarSerializer, ObjectMapper, TestJsonValue$Bean838, SimpleModule, TestJsonValue$Bean838Serializer"
com.fasterxml.jackson.databind.introspect.TestPropertyConflicts.testInferredNameConflictsWithSetters,"ObjectMapper, String, AnnotatedMember, TestPropertyConflicts$InferingIntrospector, TestPropertyConflicts, JacksonAnnotationIntrospector"
com.fasterxml.jackson.databind.deser.TestCustomDeserializers.testCustomBeanDeserializer,"ObjectMapper, TestCustomDeserializers, List"
com.fasterxml.jackson.databind.ser.TestAutoDetect.testDefaults,"ObjectMapper, Object, TestAutoDetect$FieldBean, TestAutoDetect, TestAutoDetect$MethodBean"
com.fasterxml.jackson.databind.util.TestTokenBuffer.testSimpleWrites,"TokenBuffer, JsonParser, TestTokenBuffer"
com.fasterxml.jackson.databind.creators.ImplicitNameMatch792Test.BaseMapTest,
com.fasterxml.jackson.databind.mixins.TestMixinSerForFields.testMultipleFieldMixIns,"Object, Map, ObjectMapper, TestMixinSerForFields$SubClass, TestMixinSerForFields, TestMixinSerForFields$BaseClass, HashMap"
com.fasterxml.jackson.databind.objectid.TestObjectIdDeserialization.testSimpleUUIDForClassRoundTrip,"ObjectMapper, Object, TestObjectIdDeserialization, TestObjectIdDeserialization$UUIDNode"
com.fasterxml.jackson.databind.convert.TestBeanConversions.testIssue11,"Object, Map, Exception, ObjectMapper, Integer, TestBeanConversions, TestBeanConversions$Leaf"
com.fasterxml.jackson.databind.deser.TestValueAnnotations.testOverrideMapContents,"Collection, Object, Map, Iterator, ObjectMapper, TestValueAnnotations, Integer"
com.fasterxml.jackson.databind.jsontype.TestSubtypes.testSubtypesViaModule,"Object, ObjectMapper, TestSubtypes$PropertyBean, TestSubtypes$SuperType, SimpleModule, TestSubtypes$SubC, TestSubtypes"
com.fasterxml.jackson.databind.type.TestTypeFactory.testArrays,"JavaType, ArrayType, Class, TestTypeFactory, TypeFactory"
com.fasterxml.jackson.databind.jsonschema.NewSchemaTest.testSimpleNumbers,"NewSchemaTest$3$1$1$1, Object, NewSchemaTest$3, JsonObjectFormatVisitor$Base, NewSchemaTest$3$1, SerializerProvider, BeanProperty, ObjectMapper, JsonSerializer, NewSchemaTest$3$1$1$2, StringBuilder, NewSchemaTest, BeanPropertyWriter, NewSchemaTest$3$1$1, JsonFormatVisitorWrapper$Base"
com.fasterxml.jackson.databind.convert.TestBeanConversions.testNodeConvert,"TestBeanConversions, ObjectMapper"
com.fasterxml.jackson.databind.ser.TestCollectionSerialization.testCollections,"Collection, JsonFactory, JsonParser, ObjectMapper, LinkedList, TreeSet, Integer, ArrayList, TestCollectionSerialization"
com.fasterxml.jackson.databind.ser.TestAutoDetect.testProtectedViaAnnotations,"TestAutoDetect$ProtFieldBean, Object, Map, TestAutoDetect$ProtMethodBean, TestAutoDetect$MethodBean, ObjectMapper, TestAutoDetect$FieldBean, TestAutoDetect"
com.fasterxml.jackson.databind.jsontype.TestTypedSerialization.testTypedMaps,"Object, Map, TestTypedSerialization$Super, TestTypedSerialization, Long, StringBuilder, ObjectMapper, String, List, TestTypedSerialization$1, TestTypedSerialization$A, ObjectWriter, HashMap, ArrayList, TypeReference"
com.fasterxml.jackson.databind.jsonschema.TestGenerateJsonSchema.testSchemaSerialization,"ObjectMapper, TestGenerateJsonSchema, Map"
com.fasterxml.jackson.databind.convert.TestUpdateValue.testIssue744,"StdDeserializer, DeserializationContext, TestUpdateValue, Object, TestUpdateValue$DataA, TestUpdateValue$DataADeserializer, JsonParser, ObjectMapper, TestUpdateValue$DataB, SimpleModule, ObjectReader"
com.fasterxml.jackson.databind.jsontype.TestDefaultForScalars.testNumericScalars,"Double, Float, TestDefaultForScalars, Long, ObjectMapper, Integer"
com.fasterxml.jackson.databind.jsontype.TestExternalId.testInverseExternalId928,"Object, TestExternalId, StringBuilder, ObjectMapper, Class"
com.fasterxml.jackson.databind.jsontype.TestDefaultForLists.BaseMapTest,
com.fasterxml.jackson.databind.deser.TestUntypedDeserialization.testNestedUntyped989,"TestUntypedDeserialization, ObjectMapper, ObjectReader"
com.fasterxml.jackson.databind.deser.TestSimpleTypes.testDoublePrimitiveNonNumeric,"Double, StringBuilder, ObjectMapper, StringReader, TestSimpleTypes"
com.fasterxml.jackson.databind.node.TestConversions.testAsInt,"BooleanNode, IntNode, TextNode, TestConversions, LongNode"
com.fasterxml.jackson.databind.objectid.TestObjectIdDeserialization.testForwardReferenceAnySetterCombo,"ObjectMapper, Map, TestObjectIdDeserialization"
com.fasterxml.jackson.databind.convert.TestUpdateValue.testMapUpdate,"TestUpdateValue, Map, ObjectMapper, HashMap, ObjectReader"
com.fasterxml.jackson.databind.struct.PojoAsArray646Test.BaseMapTest,
