version, time
27, 164.903737783432
26, 4.06065559387207
25, 0.5082798004150391
24, 0.833669900894165
23, 0.3844923973083496
22, 0.16028094291687012
20, 43.83781361579895
19, 0.08270573616027832
18, 0.13519549369812012
17, 0.5142297744750977
16, 0.47206997871398926
15, 0.054395198822021484
14, 0.08637857437133789
13, 0.5642225742340088
12, 0.33774399757385254
11, 0.8206174373626709
10, 0.2629435062408447
9, 0.18781614303588867
8, 0.0722355842590332
7, 1.413743495941162
6, 0.28820013999938965
5, 1.503760576248169
4, 0.979982852935791
3, 0.07991361618041992
2, 0.09279394149780273
1, 0.0944204330444336
