Method,Used Classes
org.mockitousage.matchers.MatchersTest.notOverloaded,"Object, OngoingStubbing, Mockito, Matchers, AdditionalMatchers, MatchersTest, IMethods"
org.mockito.internal.reporting.PluralizerTest.shouldGetPluralizedNumber,"PluralizerTest, Pluralizer"
org.mockitousage.verification.DescriptiveMessagesWhenVerificationFailsTest.should_print_interactions_on_mock_when_ordinary_verification_fail,
org.mockito.internal.util.reflection.GenericMetadataSupportTest.class_return_type_of____append____resolved_to_StringBuilder_and_type_arguments,"StringBuilder, String, IllegalStateException, GenericMetadataSupport, Class, Method, GenericMetadataSupportTest"
org.mockito.internal.verification.checkers.NumberOfInvocationsCheckerTest.shouldNotReportWithLastInvocationStackTraceIfNoInvocationsFound,"NumberOfInvocationsCheckerTest, Discrepancy, Reporter, NumberOfInvocationsChecker, NumberOfInvocationsCheckerTest$ReporterStub, List"
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testReflectionEquals,"EqualsBuilderTest$TestObject, Object, EqualsBuilderTest, EqualsBuilder"
org.mockitousage.basicapi.MocksSerializationForAnnotationTest.should_verify_call_order_for_serialized_mock,"ByteArrayOutputStream, Mockito, SimpleSerializationUtil, ObjectInputStream, Class, MocksSerializationForAnnotationTest, ObjectOutputStream, ByteArrayInputStream, InOrder, IMethods"
org.mockitousage.annotation.MockInjectionUsingConstructorTest.shouldNotFailWhenNotInitialized,
org.mockito.internal.invocation.InvocationsFinderTest.shouldGetLastStackTrace,"InvocationsFinder, Invocation, Collections, InvocationsFinderTest"
org.mockito.internal.configuration.MockInjectionTest.should_not_allow_null_on_fields,"MockInjectionTest, MockInjection"
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testAccessors,"EqualsBuilderTest, EqualsBuilder"
org.mockito.internal.configuration.MockInjectionTest.should_not_allow_null_on_field,"MockInjectionTest, MockInjection"
org.mockito.internal.invocation.ArgumentsComparatorTest.shouldMatchAnyVarargEvenIfOneOfTheArgsIsNull,"ArgumentsComparator, Arrays, Equals, ArgumentsComparatorTest, InvocationMatcher, IMethods"
org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldAllowSettingCheckedException,"OngoingStubbing, Mockito, StubbingWithThrowablesTest, Integer, IOException, Reader"
org.mockito.internal.matchers.VarargCapturingMatcherTest.should_scream_when_nothing_yet_captured,"VarargCapturingMatcher, VarargCapturingMatcherTest"
org.mockito.internal.creation.cglib.MethodInterceptorFilterTest.shouldCreateSerializableMethodProxyIfIsSerializableMock,
org.mockitousage.basicapi.MocksCreationTest.shouldCombineMockNameAndExtraInterfaces,
org.mockito.internal.verification.checkers.NumberOfInvocationsCheckerTest.shouldReportWithLastInvocationStackTrace,"RuntimeException, InvocationImpl, Arrays, Invocation, List, SerializableMethod, Object, Mockito, NumberOfInvocationsChecker, InvocationBuilder, LinkedList, NumberOfInvocationsCheckerTest, Reporter, Class, NumberOfInvocationsCheckerTest$ReporterStub, Discrepancy"
org.mockitousage.stubbing.StubbingUsingDoReturnTest.shouldDetectWhenNullAssignedToBoolean,"Exception, StubbingUsingDoReturnTest, Mockito, Stubber, IMethods"
org.mockitousage.verification.DescriptiveMessagesWhenTimesXVerificationFailsTest.shouldVerifyActualNumberOfInvocationsLargerThanWanted,"DescriptiveMessagesWhenTimesXVerificationFailsTest, TooManyActualInvocations, LinkedList, Mockito"
org.mockitousage.constructor.CreatingMocksWithConstructorTest.exception_message_when_constructor_not_found,"CreatingMocksWithConstructorTest, MockitoException, Throwable, Mockito"
org.mockitousage.matchers.CustomMatchersTest.shouldUseCustomBooleanMatcher,"OngoingStubbing, Mockito, ArgumentMatcher, CustomMatchersTest$IsAnyBoolean, CustomMatchersTest, IMethods"
org.mockitousage.verification.VerificationInOrderWithCallsTest.shouldFailWhenDifferentMethodCallsAreOutOfSequence,
org.mockito.internal.InvalidStateDetectionTest.shouldCorrectStateAfterDetectingUnfinishedStubbing,"RuntimeException, InvalidStateDetectionTest, Mockito, VoidMethodStubbable, IMethods"
org.mockitousage.performance.LoadsOfMocksTest.testSomething,"StringBuilder, OngoingStubbing, Mockito, PrintStream, LinkedList, LoadsOfMocksTest, List, IMethods"
org.mockitousage.stacktrace.ModellingDescriptiveMessagesTest.shouldSayTooLittleInvocations,"ModellingDescriptiveMessagesTest, Mockito, IMethods"
org.mockitousage.annotation.WrongSetOfAnnotationsTest.should_not_allow_Mock_and_Spy,"Object, WrongSetOfAnnotationsTest$1, WrongSetOfAnnotationsTest, MockitoAnnotations"
org.mockito.internal.creation.cglib.MethodInterceptorFilterTest.shouldCreateSerializableMethodIfIsSerializableMock,
org.mockitousage.annotation.DeprecatedAnnotationEngineApiTest.shouldInjectMocksIfThereIsNoUserDefinedEngine,"DeprecatedAnnotationEngineApiTest$SimpleTestCase, DeprecatedAnnotationEngineApiTest$Tested, Object, DeprecatedAnnotationEngineApiTest, ConfigurationAccess, MockitoConfiguration, GlobalConfiguration, MockitoAnnotations, DefaultMockitoConfiguration"
org.mockitousage.PlaygroundTest.partialMockInAction,
org.mockito.internal.util.ObjectMethodsGuruTest.shouldKnowHashCodeMethod,"ObjectMethodsGuruTest, ObjectMethodsGuru, Class"
org.mockitousage.performance.StubOnlyAvoidMemoryConsumptionTest.using_stub_only_wont_thrown_an_OutOfMemoryError,"Object, OngoingStubbing, Mockito, MockSettings, StubOnlyAvoidMemoryConsumptionTest"
org.mockito.internal.matchers.VarargCapturingMatcherTest.can_capture_primitive_varargs,"VarargCapturingMatcher, Integer, VarargCapturingMatcherTest"
org.mockito.verification.TimeoutTest.should_create_correctly_configured_timeout,"Timeout, TimeoutTest"
org.mockitousage.basicapi.MocksSerializationForAnnotationTest.should_verify_even_if_some_methods_called_after_serialization,"ByteArrayOutputStream, Mockito, SimpleSerializationUtil, ObjectInputStream, Class, MocksSerializationForAnnotationTest, ObjectOutputStream, ByteArrayInputStream, IMethods"
org.mockito.internal.matchers.EqualsTest.shouldDescribeWithExtraTypeInfoOfLong,"Equals, Long, EqualsTest"
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldVerify,"SpyingOnRealObjectsTest, List, Mockito"
org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest.should_not_raise_a_mockito_exception_about_serialization_when_accessing_deep_stub,"DeepStubsWronglyReportsSerializationProblemsTest$ToBeDeepStubbed, Object, Mockito, DeepStubsWronglyReportsSerializationProblemsTest"
org.mockitousage.verification.SelectedMocksInOrderVerificationTest.shouldFailVerificationForMockOne,"IMethods, SelectedMocksInOrderVerificationTest, InOrder, Mockito"
org.mockito.internal.progress.HandyReturnValuesTest.should_return_handy_value_for_instances,"HandyReturnValues, Double, Object, HandyReturnValuesTest"
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldVerifyInOrder,"SpyingOnRealObjectsTest, InOrder, List, Mockito"
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldStubVoid,"RuntimeException, Mockito, VoidMethodStubbable, SpyingOnRealObjectsTest, List"
org.mockitousage.stubbing.DeepStubbingTest.myTest,"OngoingStubbing, Mockito, SocketFactory, DeepStubbingTest, Matchers"
org.mockitousage.customization.BDDMockitoTest.shouldStubVoidConsecutivelyWithExceptionClass,"BDDMockito$BDDStubber, BDDMockito, BDDMockitoTest, IMethods"
org.mockitousage.stacktrace.ModellingDescriptiveMessagesTest.shouldPointOutUnfinishedStubbing,"ModellingDescriptiveMessagesTest, Mockito, IMethods"
org.mockitousage.bugs.ChildWithSameParentFieldInjectionTest.child_field_is_not_null,"ChildWithSameParentFieldInjectionTest$SomeService, ChildWithSameParentFieldInjectionTest$AbstractSystem, Object, ChildWithSameParentFieldInjectionTest$System, ChildWithSameParentFieldInjectionTest"
org.mockitousage.internal.debugging.LocationImplTest.shouldLocationNotContainGetStackTraceMethod,"LocationImpl, LocationImplTest"
org.mockitousage.matchers.AnyXMatchersAcceptNullsTest.shouldAcceptNullsInAnyObjectMatcher,"AnyXMatchersAcceptNullsTest, IMethods, OngoingStubbing, Mockito"
org.mockitousage.stubbing.StubbingUsingDoReturnTest.shouldNotAllowDoNothingOnNonVoids,"MockitoException, StubbingUsingDoReturnTest, Mockito, Stubber, IMethods"
org.mockitousage.junitrunner.JUnit44RunnerTest.shouldInitMocksUsingRunner,"JUnit44RunnerTest, List, Mockito"
org.mockitousage.matchers.MatchersTest.orMatcher,"OngoingStubbing, Mockito, AdditionalMatchers, MatchersTest, IMethods"
org.mockito.internal.util.reflection.FieldInitializerTest.should_fail_to_instantiate_field_if_no_default_constructor,
org.mockitousage.annotation.AnnotationsTest.shouldInitMocks,"AnnotationsTest, Mockito, List, Map"
org.mockitousage.matchers.NewMatchersTest.shouldAllowAnyList,"OngoingStubbing, Mockito, NewMatchersTest, Arrays, IMethods"
org.mockitousage.matchers.MatchersTest.notNullMatcher,"Object, OngoingStubbing, Mockito, AdditionalMatchers, MatchersTest, IMethods"
org.mockitousage.matchers.CapturingArgumentsTest.should_allow_capturing_for_stubbing,"Object, CapturingArgumentsTest, OngoingStubbing, Mockito, Integer, CapturingArgumentsTest$EmailService, CapturingArgumentsTest$Person, Boolean, ArgumentCaptor"
org.mockito.internal.progress.HandyReturnValuesTest.should_not_return_null_for_primitives,"HandyReturnValues, HandyReturnValuesTest"
org.mockito.internal.matchers.EqualsTest.shouldAppendQuotingForChar,"Equals, Character, EqualsTest"
org.mockitousage.examples.use.ExampleTest.shouldPersistRecalculatedArticle,"ArticleManager, ExampleTest, OngoingStubbing, Mockito, ArticleCalculator, ArticleDatabase, Arrays, Object, Iterator, Integer, Article, InOrder, List"
org.mockito.internal.verification.VerificationOverTimeImplTest.should_throw_mockito_assertion_error,
org.mockitousage.matchers.ReflectionMatchersTest.shouldNotMatch,"Object, Mockito, ReflectionMatchersTest, ReflectionMatchersTest$Child, ReflectionMatchersTest$MockMe, ReflectionMatchersTest$Parent"
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testMultiCharArray,"EqualsBuilderTest, EqualsBuilder"
org.mockitoutil.ClassLoadersTest.excluding_class_loader_can_load_classes_when_correct_source_url_set,"ClassLoadersTest, Arrays, ClassLoaders, ClassNotFoundException, ClassLoaders$ExcludingURLClassLoaderBuilder, URLClassLoader, StringBuilder, String, Object, ArrayList, ClassLoaders$LocalExcludingURLClassLoader, Class, Iterator, ClassLoader"
org.mockitousage.stubbing.DeprecatedStubbingTest.shouldStubbingBeTreatedAsInteraction,"Mockito, DeprecatedOngoingStubbing, DeprecatedStubbingTest, Boolean, IMethods"
org.mockitousage.verification.VerificationAfterDelayTest.shouldVerifyNormallyWithSpecificTimes,
org.mockitousage.stacktrace.PointingStackTraceToActualInvocationChunkInOrderTest.shouldPointToThirdInteractionBecauseAtLeastOnceUsed,"VerificationInOrderFailure, Mockito, PointingStackTraceToActualInvocationChunkInOrderTest, InOrder, IMethods"
org.mockito.internal.matchers.MatchersPrinterTest.shouldGetVerboseArgumentsEvenIfSomeMatchersAreNotVerbose,"MatchersPrinterTest, Arrays, Equals, MatchersPrinter, Integer, Long, PrintSettings"
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testFloatArray,"EqualsBuilderTest, EqualsBuilder"
org.mockitousage.basicapi.UsingVarargsTest.shouldVerifyObjectVarargs,"ArrayList, Mockito, UsingVarargsTest$IVarArgs, UsingVarargsTest, Integer"
org.mockitousage.stubbing.StubbingWithExtraAnswersTest.shouldScreamWhenNullPassed,"ReturnsElementsOf, StubbingWithExtraAnswersTest"
org.mockito.internal.progress.MockingProgressImplTest.shouldNotifyListenerSafely,"MockingProgressImplTest, MockingProgress"
org.mockitousage.stubbing.DeepStubbingTest.withSimplePrimitive,"Socket, OngoingStubbing, Mockito, SocketFactory, DeepStubbingTest, Integer"
org.mockitousage.verification.VerificationInOrderWithCallsTest.shouldFailWhenMethodCallsOnDifferentMocksAreOutOfSequence,
org.mockitousage.stubbing.StubbingWithCustomAnswerTest.shouldAnswer,"StringBuilder, Object, OngoingStubbing, Mockito, StubbingWithCustomAnswerTest$1, InvocationOnMock, Method, StubbingWithCustomAnswerTest, Matchers, IMethods"
org.mockito.internal.matchers.MatchersToStringTest.equalsToStringWithChar,"MatchersToStringTest, Character, Equals"
org.mockito.ArgumentCaptorTest.tell_handy_return_values_to_return_value_for,"ArgumentCaptorTest, Object, HandyReturnValues, ArgumentCaptor, ArgumentCaptorTest$1"
org.mockito.internal.verification.checkers.MissingInvocationCheckerTest.shouldPassBecauseActualInvocationFound,"Object, RuntimeException, InvocationImpl, MissingInvocationChecker, Invocation, Mockito, InvocationBuilder, LinkedList, SerializableMethod, Class, MissingInvocationCheckerTest, List"
org.mockito.internal.util.MockUtilTest.should_validate_spy,"ArrayList, MockUtil, Mockito, MockSettings, MockUtilTest"
org.mockito.internal.creation.cglib.ClassImposterizerTest.shouldCreateClassByConstructor,"ClassImposterizerTest, Object, ConstructorInstantiator, ClassImposterizer, ClassImposterizerTest$MethodInterceptorStub"
org.mockito.exceptions.ReporterTest.can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_injection_failure,
org.mockito.internal.util.reflection.LenientCopyToolTest.shouldShallowCopyBasicFinalField,"Integer, LenientCopyTool, LenientCopyToolTest"
org.mockitousage.basicapi.MockingMultipleInterfacesTest.should_scream_when_null_passed_instead_of_an_interface,"MockingMultipleInterfacesTest, MockSettings, MockitoException, Mockito"
org.mockito.internal.stubbing.answers.AnswersValidatorTest.should_allow_void_return_for_void_method,"Object, AnswersValidator, RuntimeException, Mockito, InvocationImpl, Invocation, List, InvocationBuilder, LinkedList, DoesNothing, AnswersValidatorTest, Class, SerializableMethod"
org.mockitousage.annotation.DeprecatedMockAnnotationTest.shouldCreateMockForDeprecatedMockAnnotation,
org.mockitousage.annotation.CaptorAnnotationTest.shouldScreamWhenInitializingCaptorsForNullClass,"CaptorAnnotationTest, MockitoAnnotations"
org.mockitousage.stacktrace.ModellingDescriptiveMessagesTest.shouldPointOutInteractionsOnMockWhenOrdinaryVerificationFails,"ModellingDescriptiveMessagesTest, Mockito, IMethods"
org.mockito.internal.stubbing.answers.AnswersValidatorTest.should_fail_on_wrong_primitive,
org.mockitousage.bugs.InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest.should_match_be_consistent_regardless_of_order,
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailOnSecondMethodBecauseDifferentArgsWanted,"Mockito, BasicVerificationInOrderTest, InOrder, IMethods"
org.mockito.verification.TimeoutTest.should_pass_when_verification_passes,"Timer, OngoingStubbing, Mockito, TimeoutTest, Stubber, VerificationMode, Boolean, Timeout, InOrder"
org.mockito.internal.progress.MockingProgressImplTest.shouldStartVerificationAndPullVerificationMode,"MockingProgressImplTest, MockingProgress, VerificationModeFactory"
org.mockitousage.matchers.AnyXMatchersAcceptNullsTest.shouldNotAcceptNullInAnyXMatchers,"AnyXMatchersAcceptNullsTest, IMethods, OngoingStubbing, Mockito"
org.mockitousage.stubbing.StubbingWithDelegateTest.calling_method_with_wrong_primitive_return_should_throw_exception,"StubbingWithDelegateTest$FakeListWithWrongMethods, Object, MockitoException, ArrayList, Mockito, AdditionalAnswers, StubbingWithDelegateTest, List"
org.mockitousage.debugging.PrintingInvocationsDetectsUnusedStubTest.shouldDetectUnusedStubbingWhenPrinting,"NewMockito, PrintingInvocationsDetectsUnusedStubTest, BDDMockito, Foo, BDDMockito$BDDMyOngoingStubbing, MockitoDebugger, MockitoDebuggerImpl"
org.mockito.internal.invocation.InvocationImplTest.shouldPrintArgumentsInMultilinesWhenGetsTooBig,"Object, RuntimeException, Mockito, InvocationImpl, Invocation, List, InvocationBuilder, LinkedList, InvocationImplTest, Class, Integer, SerializableMethod"
org.mockitousage.verification.VerificationExcludingStubsTest.shouldExcludeFromVerificationInOrder,"OngoingStubbing, Mockito, VerificationExcludingStubsTest, InOrder, IMethods"
org.mockito.internal.util.collections.HashCodeAndEqualsSafeSetTest.can_remove,"HashCodeAndEqualsSafeSet, HashCodeAndEqualsSafeSetTest, Mockito"
org.mockitousage.matchers.CapturingArgumentsTest.should_capture_one_arg_even_when_using_vararg_captor_on_nonvararg_method,"CapturingArgumentsTest, Mockito, Matchers, Integer, ArgumentCaptor, IMethods"
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testShortArrayHiddenByObject,"EqualsBuilderTest, EqualsBuilder"
org.mockitousage.stubbing.SmartNullsStubbingTest.shouldShowParameters,"Exception, Object, SmartNullsStubbingTest, Mockito, SmartNullsStubbingTest$Foo, SmartNullsStubbingTest$Bar"
org.mockitousage.bugs.ParentTestMockInjectionTest.noNullPointerException,
org.mockitousage.verification.SelectedMocksInOrderVerificationTest.shouldVerifyInOrderMockTwoAndThree,"IMethods, SelectedMocksInOrderVerificationTest, InOrder, Mockito"
org.mockitousage.stacktrace.PointingStackTraceToActualInvocationChunkInOrderTest.shouldPointStackTraceToPreviousInvocation,"VerificationInOrderFailure, Mockito, PointingStackTraceToActualInvocationChunkInOrderTest, InOrder, IMethods"
org.mockito.internal.matchers.MatchersToStringTest.equalsToStringWithString,"MatchersToStringTest, Equals"
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testObject,"EqualsBuilderTest$TestObject, Object, EqualsBuilderTest, EqualsBuilder"
org.mockitousage.verification.OrdinaryVerificationPrintsAllInteractionsTest.shouldNotShowAllInteractionsHeaderWhenNoOtherInteractions,"WantedButNotInvoked, IMethods, OrdinaryVerificationPrintsAllInteractionsTest, Mockito"
org.mockitousage.misuse.InvalidUsageTest.shouldNotMockObjectMethodsOnInterface,"InvalidUsageTest, InvalidUsageTest$ObjectLikeInterface, Mockito"
org.mockitousage.customization.BDDMockitoTest.shouldStubVoidConsecutively,"RuntimeException, BDDMockito$BDDStubber, BDDMockito, BDDMockitoTest, IMethods"
org.mockito.internal.util.reflection.BeanPropertySetterTest.return_false_if_no_setter_was_found_and_if_reportNoSetterFound_is_false,"BeanPropertySetter, Object, BeanPropertySetterTest$SomeBeanWithNoSetterMatchingFieldType, BeanPropertySetterTest, File, Class"
org.mockitousage.bugs.ShouldNotTryToInjectInFinalOrStaticFieldsTest.dont_fail_with_CONSTANTS,
org.mockitousage.basicapi.UsingVarargsTest.shouldVerifyWithAnyObject,"UsingVarargsTest, Object, Mockito, UsingVarargsTest$Foo"
org.mockitousage.matchers.MoreMatchersTest.shouldHelpOutWithUnnecessaryCastingOfLists,"Collections, OngoingStubbing, Mockito, LinkedList, MoreMatchersTest, Matchers, IMethods"
org.mockito.internal.invocation.InvocationsFinderTest.shouldFindAllMatchingUnverifiedChunks,"StringBuilder, Collections, Object, Arrays, InvocationsFinderTest, ExtraMatchers$5, Collection, InvocationsFinder, InOrderContext, InvocationMatcher, ExtraMatchers, List"
org.mockito.internal.util.reflection.FieldInitializerTest.should_instantiate_field_with_default_constructor,"FieldInitializer, FieldInitializerTest, Object, Class, FieldInitializationReport"
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldVerifyInOrderAndFail,"SpyingOnRealObjectsTest, InOrder, List, Mockito"
org.mockitousage.matchers.ReflectionMatchersTest.shouldNotMatchYetAgain,"Object, Mockito, ReflectionMatchersTest, ReflectionMatchersTest$Child, ReflectionMatchersTest$MockMe, ReflectionMatchersTest$Parent"
org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest.can_create_mock_from_multiple_type_variable_bounds_when_return_type_of_parameterized_method_is_a_parameterizedtype_that_is_referencing_a_typevar_on_class,"ReturnsGenericDeepStubsTest$GenericsNest, ReturnsGenericDeepStubsTest, List, Mockito"
org.mockito.internal.creation.cglib.MethodInterceptorFilterTest.shouldProvideOwnImplementationOfEquals,"MethodInterceptorFilter, Object, Mockito, InternalMockHandler, Class, MethodInterceptorFilterTest, Matchers, Boolean, MethodsImpl"
org.mockitousage.stubbing.StubbingUsingDoReturnTest.shouldAllowStubbingToString,"Stubber, StubbingUsingDoReturnTest, IMethods, Mockito"
org.mockito.internal.stubbing.InvocationContainerImplStubbingTest.should_get_results_for_methods_stub_only,"ThrowsException, Object, RuntimeException, InvocationContainerImplStubbingTest, Mockito, InvocationImpl, Invocation, List, InvocationContainerImplStubbingTest$MyException, InvocationBuilder, LinkedList, InvocationContainerImpl, SerializableMethod, Class, InvocationMatcher, Returns"
org.mockitousage.verification.VerificationAfterDelayTest.shouldVerifyNormallyWithAtLeast,
org.mockitousage.verification.DescriptiveMessagesWhenVerificationFailsTest.should_print_method_name_and_arguments,"Object, Mockito, DescriptiveMessagesWhenVerificationFailsTest$Foo, DescriptiveMessagesWhenVerificationFailsTest, WantedButNotInvoked, IMethods"
org.mockitousage.misuse.DescriptiveMessagesOnMisuseTest.shouldScreamWhenWholeMethodPassedToVerifyNoMoreInteractions,"Mockito, Byte, DescriptiveMessagesOnMisuseTest, IMethods"
org.mockitoutil.ClassLoadersTest.isolated_class_loader_cannot_load_classes_not_matching_the_prefix,"StringBuilder, String, ClassLoadersTest, Object, ArrayList, Arrays, ClassLoaders, ClassLoaders$LocalIsolatedURLClassLoader, NoClassDefFoundError, Class, ClassNotFoundException, Iterator, ClassLoader, ClassLoaders$IsolatedURLClassLoaderBuilder, URLClassLoader"
org.mockito.internal.matchers.EqualsTest.shouldDescribeUsingToString,"Integer, Equals, EqualsTest"
org.concurrentmockito.ThreadsShareAMockTest.shouldAllowVerifyingInThreads,"Thread, Mockito, ThreadsShareAMockTest, ThreadsShareAMockTest$1, IMethods"
org.mockitousage.bugs.InjectMocksShouldTryPropertySettersFirstBeforeFieldAccessTest.shouldInjectUsingPropertySetterIfAvailable,
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldAllowOverridingStubs,"OngoingStubbing, Mockito, SpyingOnRealObjectsTest, Boolean, List"
org.mockitousage.bugs.Issue353InjectionMightNotHappenInCertainConfigurationTest.when_identical_types_and_the_correct_mock_name_is_greater_than_the_non_matching_name_then_injection_occurs_only_on_the_named_one,"Issue353InjectionMightNotHappenInCertainConfigurationTest, String"
org.mockitousage.customization.BDDMockitoTest.shouldStubUsingDoReturnStyle,"BDDMockito$BDDStubber, BDDMockito, BDDMockitoTest, IMethods"
org.mockitousage.matchers.MatchersTest.arrayEqualsMatcher,"OngoingStubbing, Mockito, Integer, AdditionalMatchers, MatchersTest, IMethods"
org.mockitousage.verification.BasicVerificationTest.shouldFailVerification,"List, BasicVerificationTest, Mockito"
org.mockitousage.stubbing.DeepStubbingTest.shouldVerificationBasicallyWorkFine,"Object, Mockito, DeepStubbingTest$Address, DeepStubbingTest, DeepStubbingTest$Person, DeepStubbingTest$Street"
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailOnVerifyNoMoreInteractions,"Mockito, BasicVerificationInOrderTest, InOrder, IMethods"
org.mockito.exceptions.ReporterTest.should_throw_correct_exception_for_null_invocation_listener,"ReporterTest, Reporter"
org.mockitousage.debugging.VerboseLoggingOfInvocationsOnMockTest.shouldPrintThrowingInvocationOnMockToStdOut,"MockName, Object, RuntimeException, MockUtil, Mockito, ByteArrayOutputStream, Stubber, MockSettings, Foo, VerboseLoggingOfInvocationsOnMockTest$ThirdPartyException, Class, VerboseLoggingOfInvocationsOnMockTest"
org.mockitousage.stacktrace.PointingStackTraceToActualInvocationInOrderTest.shouldPointToFirstMethodBecauseOfTooManyActualInvocations,"VerificationInOrderFailure, PointingStackTraceToActualInvocationInOrderTest, Mockito, InOrder, IMethods"
org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldNotAllowSettingNullThrowableArray,"OngoingStubbing, Mockito, LinkedList, StubbingWithThrowablesTest, Boolean"
org.mockitousage.matchers.VerificationAndStubbingUsingMatchersTest.shouldStubUsingMatchers,"VerificationAndStubbingUsingMatchersTest, RuntimeException, OngoingStubbing, Mockito, IMethods"
org.mockito.internal.handler.InvocationNotifierHandlerTest.should_notify_all_listeners_when_called_delegate_handler_returns_ex,"Exception, InvocationNotifierHandler, Mockito, BDDMockito, NotifiedMethodInvocationReport, MockHandlerImpl, InvocationNotifierHandlerTest, BDDMockito$BDDMyOngoingStubbing, InvocationListener"
org.mockito.internal.util.reflection.GenericMetadataSupportTest.paramType_with_wildcard_return_type_of____returning_wildcard_with_typeVar_lower_bound____resolved_to_List_and_type_argument_to_Integer,"TypeVariable, StringBuilder, String, IllegalStateException, Map, GenericMetadataSupport, Method, Class, Set, Map$Entry, GenericMetadataSupport$BoundedType, Iterator, GenericMetadataSupportTest"
org.mockitousage.matchers.CapturingArgumentsTest.should_capture_int_by_creating_captor_with_primitive_wrapper,"CapturingArgumentsTest, Mockito, Integer, ArgumentCaptor, IMethods"
org.mockito.internal.verification.SmartPrinterTest.shouldPrintBothInMultilinesWhenFirstIsMulti,"InvocationMatcher, SmartPrinterTest, String, SmartPrinter"
org.mockito.MockitoTest.shouldValidateMockWhenStubbingVoid,"MockitoTest, Mockito"
org.mockito.internal.invocation.InvocationMatcherTest.should_capture_varargs_as_vararg,"Arrays, Equals, LocalizedMatcher, InvocationMatcherTest, InvocationMatcher, Integer, CapturingMatcher, IMethods"
org.mockitousage.matchers.MatchersTest.anyXMatcher,"Object, OngoingStubbing, Mockito, HashMap, MatchersTest, IMethods"
org.mockito.runners.RunnersValidateFrameworkUsageTest.shouldValidateWithDefaultRunner,"ExtraMatchers$6, Matcher, Object, Runner, RunNotifier, LinkedList, Collection, CoreMatchers, RunnersValidateFrameworkUsageTest, RunnersValidateFrameworkUsageTest$RunNotifierStub, Iterator, MockitoJUnitRunner, ExtraMatchers, List"
