Method,Used Classes
com.google.gson.JsonPrimitiveTest.testEqualsIntegerAndBigInteger,"JsonPrimitiveTest, StringBuilder, JsonPrimitive, BigInteger, Long"
com.google.gson.functional.PrimitiveTest.testDeserializingNonZeroDecimalPointValuesAsIntegerFails,"PrimitiveTest, Gson"
com.google.gson.functional.JsonParserTest.testParseInvalidJson,"JsonParserTest, Gson"
com.google.gson.internal.LinkedTreeMapTest.testPutNullKeyFails,"LinkedTreeMapTest, LinkedTreeMap"
com.google.gson.JsonObjectTest.testReadPropertyWithEmptyStringName,"JsonObject, JsonObjectTest, JsonElement, JsonParser"
com.google.gson.internal.LinkedHashTreeMapTest.testContainsNonComparableKeyReturnsFalse,"LinkedHashTreeMap, LinkedHashTreeMapTest, Object"
com.google.gson.functional.ParameterizedTypesTest.testParameterizedTypeWithVariableTypeDeserialization,"StringBuilder, ParameterizedTypesTest$15, Object, ArrayList, Arrays, ParameterizedTypesTest$ObjectWithTypeVariables, ParameterizedTypesTest, Gson, Iterable, Integer, Iterator, TypeToken, List"
com.google.gson.functional.ObjectTest.testClassWithTransientFieldsSerialization,"StringBuilder, Object, TestTypes$ClassWithTransientFields, Gson, ObjectTest"
com.google.gson.InnerClassExclusionStrategyTest.testExcludeInnerClassField,"Excluder, Object, Class, InnerClassExclusionStrategyTest"
com.google.gson.stream.JsonReaderTest.testSkipVeryLongQuotedString,"JsonReader, StringBuilder, String, JsonReaderTest, Arrays, StringReader"
com.google.gson.functional.EscapingTest.testEscapingQuotesInStringArray,"EscapingTest, Gson"
com.google.gson.functional.ArrayTest.testSingleStringArrayDeserialization,"ArrayTest, Gson"
com.google.gson.JsonNullTest.testDeepCopy,"JsonNullTest, JsonNull"
com.google.gson.functional.StreamingTypeAdaptersTest.testSerializeRecursive,"JsonWriter, String, Object, StreamingTypeAdaptersTest$Node, StreamingTypeAdaptersTest, TypeAdapter, Gson, StringWriter"
com.google.gson.functional.PrimitiveTest.testNegativeInfinityFloatSerializationNotSupportedByDefault,"PrimitiveTest, Float, Gson"
com.google.gson.functional.ObjectTest.testBagOfPrimitivesDeserialization,"StringBuilder, TestTypes$BagOfPrimitives, Object, String, Integer, Gson, Boolean, Long, ObjectTest"
com.google.gson.functional.JavaUtilConcurrentAtomicTest.testAtomicLongWithStringSerializationPolicy,"JavaUtilConcurrentAtomicTest, GsonBuilder, Gson, AtomicLong"
com.google.gson.functional.CustomSerializerTest.testSubClassSerializerInvokedForBaseClassFieldsHoldingArrayOfSubClassInstances,"CustomSerializerTest, Iterator, Object, JsonElement, JsonArray, TestTypes$Base, TestTypes$SubSerializer, GsonBuilder, TestTypes$BaseSerializer, Gson, Class, JsonObject, TestTypes$Sub, TestTypes$ClassWithBaseArrayField"
com.google.gson.functional.NamingPolicyTest.testGsonWithUpperCamelCaseSpacesPolicySerialiation,"StringBuilder, Object, NamingPolicyTest, GsonBuilder, TestTypes$StringWrapper, Gson"
com.google.gson.functional.StreamingTypeAdaptersTest.testSerializeWithCustomTypeAdapter,"JsonWriter, JsonReader, StreamingTypeAdaptersTest$2, Collections, String, Object, Arrays, StreamingTypeAdaptersTest$Person, StreamingTypeAdaptersTest, GsonBuilder, TypeAdapter, StreamingTypeAdaptersTest$Truck, StringWriter, Gson"
com.google.gson.stream.JsonReaderTest.testStringNullIsNotNull,"JsonReader, StringReader, JsonReaderTest"
com.google.gson.ExposeAnnotationExclusionStrategyTest.testNeverSkipClasses,"ExposeAnnotationExclusionStrategyTest, Excluder"
com.google.gson.functional.CustomTypeAdaptersTest.testCustomAdapterInvokedForCollectionElementDeserialization,"StringBuilder, Iterator, Object, String, JsonElement, CustomTypeAdaptersTest$StringHolder, JsonPrimitive, GsonBuilder, Gson, Set, CustomTypeAdaptersTest, TypeToken, CustomTypeAdaptersTest$12, CustomTypeAdaptersTest$StringHolderTypeAdapter"
com.google.gson.functional.JsonArrayTest.testDoublePrimitiveAddition,"Double, JsonArrayTest, JsonArray"
com.google.gson.functional.MoreSpecificTypeSerializationTest.testListOfParameterizedSubclassFields,"String, MoreSpecificTypeSerializationTest, ArrayList, Object, Collection, MoreSpecificTypeSerializationTest$ClassWithContainersOfParameterizedBaseFields, MoreSpecificTypeSerializationTest$ParameterizedSub, Gson, MoreSpecificTypeSerializationTest$ParameterizedBase"
com.google.gson.stream.JsonReaderTest.testStrictNonExecutePrefix,"JsonReader, StringReader, JsonReaderTest"
com.google.gson.functional.PrimitiveTest.testDeserializeJsonObjectAsNumber,"PrimitiveTest, Gson"
com.google.gson.functional.InheritanceTest.testBaseSerializedAsBaseWhenSpecifiedWithExplicitTypeForToJsonMethod,"String, Object, TestTypes$Base, InheritanceTest, Class, Gson, TestTypes$Sub"
com.google.gson.internal.LinkedTreeMapTest.testContainsNullKeyIsAlwaysFalse,"LinkedTreeMapTest, LinkedTreeMap"
com.google.gson.OverrideCoreTypeAdaptersTest.testOverridePrimitiveBooleanAdapter,"OverrideCoreTypeAdaptersTest, Boolean, GsonBuilder, Gson"
com.google.gson.JsonObjectTest.testDeepCopy,"JsonElement, JsonArray, JsonPrimitive, JsonObjectTest, JsonObject"
com.google.gson.internal.bind.JsonElementReaderTest.testArray,"JsonElementReaderTest, JsonParser, JsonTreeReader"
com.google.gson.functional.PrettyPrintingTest.testMap,"Map, LinkedHashMap, Gson, PrettyPrintingTest, Integer"
com.google.gson.stream.JsonReaderTest.testPrematureEndOfInput,"JsonReader, StringReader, JsonReaderTest"
com.google.gson.functional.VersioningTest.testVersionedGsonWithUnversionedClassesDeserialization,"StringBuilder, TestTypes$BagOfPrimitives, VersioningTest, Object, String, Integer, GsonBuilder, Gson, Boolean, Long"
com.google.gson.functional.JsonArrayTest.testMixedPrimitiveAddition,"Double, JsonArrayTest, Character, JsonArray, BigInteger, Integer"
com.google.gson.functional.PrettyPrintingTest.testPrettyPrintList,"StringBuilder, TestTypes$BagOfPrimitives, Object, String, Integer, LinkedList, PrettyPrintingTest$1, TypeToken, Gson, PrettyPrintingTest, Boolean, Long, List"
com.google.gson.functional.CollectionTest.testQueueDeserialization,"TypeToken, Queue, Gson, CollectionTest, CollectionTest$7"
com.google.gson.functional.CustomDeserializerTest.testJsonTypeFieldBasedDeserialization,"Object, CustomDeserializerTest$SubTypes[], CustomDeserializerTest, CustomDeserializerTest$1, JsonDeserializationContext, JsonElement, Enum, GsonBuilder, Gson, CustomDeserializerTest$SubTypes, JsonObject"
com.google.gson.functional.SecurityTest.testNonExecutableJsonDeserialization,"GsonBuilder, SecurityTest, Gson"
